id,Municipality,ref: ISTAT,year,Waste type,Quantity,category
38,22043,4022043,2014,Organic Fraction (t),"121,532",1
39,22045,4022045,2014,Organic Fraction (t),"10,160",1
40,,4022046,2014,Organic Fraction (t),"66,088",1
41,22048,4022048,2014,Organic Fraction (t),"107,051",1
42,22047,4022047,2014,Organic Fraction (t),"418,210",1
43,22049,4022049,2014,Organic Fraction (t),"114,296",1
44,22050,4022050,2014,Organic Fraction (t),"863,805",1
45,22051,4022051,2014,Organic Fraction (t),"126,414",1
46,22052,4022052,2014,Organic Fraction (t),"102,887",1
47,22053,4022053,2014,Organic Fraction (t),"323,231",1
48,22054,4022054,2014,Organic Fraction (t),"13,831",1
49,,4022055,2014,Organic Fraction (t),"142,012",1
50,,4022056,2014,Organic Fraction (t),"90,818",1
51,,4022057,2014,Organic Fraction (t),"20,386",1
52,22058,4022058,2014,Organic Fraction (t),"53,319",1
53,22059,4022059,2014,Organic Fraction (t),"28,749",1
54,22060,4022060,2014,Organic Fraction (t),"29,745",1
55,22061,4022061,2014,Organic Fraction (t),"546,530",1
56,22062,4022062,2014,Organic Fraction (t),"652,984",1
57,,4022063,2014,Organic Fraction (t),"69,249",1
58,22228,4022228,2014,Organic Fraction (t),"231,319",1
59,22064,4022064,2014,Organic Fraction (t),"159,564",1
60,,4022066,2014,Organic Fraction (t),"161,756",1
61,,4022067,2014,Organic Fraction (t),"194,548",1
62,22068,4022068,2014,Organic Fraction (t),"71,498",1
63,,4022069,2014,Organic Fraction (t),"58,095",1
64,,4022070,2014,Organic Fraction (t),"135,093",1
65,22071,4022071,2014,Organic Fraction (t),"40,713",1
66,,4022072,2014,Organic Fraction (t),"23,203",1
67,,4022073,2014,Organic Fraction (t),"25,947",1
68,22074,4022074,2014,Organic Fraction (t),"121,115",1
69,,4022075,2014,Organic Fraction (t),"392,422",1
70,,4022076,2014,Organic Fraction (t),"32,162",1
71,,4022077,2014,Organic Fraction (t),"22,984",1
72,22078,4022078,2014,Organic Fraction (t),"46,106",1
73,22079,4022079,2014,Organic Fraction (t),"448,454",1
74,,4022080,2014,Organic Fraction (t),"45,663",1
75,22081,4022081,2014,Organic Fraction (t),"280,024",1
76,,4022082,2014,Organic Fraction (t),"83,945",1
77,,4022083,2014,Organic Fraction (t),"58,418",1
78,,4022084,2014,Organic Fraction (t),"53,589",1
79,,4022085,2014,Organic Fraction (t),"70,546",1
80,,4022086,2014,Organic Fraction (t),"52,610",1
81,22087,4022087,2014,Organic Fraction (t),"621,113",1
82,,4022088,2014,Organic Fraction (t),"160,620",1
83,22089,4022089,2014,Organic Fraction (t),"182,447",1
84,,4022090,2014,Organic Fraction (t),"53,517",1
85,22091,4022091,2014,Organic Fraction (t),"36,713",1
86,22092,4022092,2014,Organic Fraction (t),"137,454",1
87,22093,4022093,2014,Organic Fraction (t),"125,559",1
88,,4022094,2014,Organic Fraction (t),"13,667",1
89,22095,4022095,2014,Organic Fraction (t),"84,076",1
90,,4022096,2014,Organic Fraction (t),"28,403",1
91,22097,4022097,2014,Organic Fraction (t),"102,476",1
92,22098,4022098,2014,Organic Fraction (t),"290,752",1
93,,4022099,2014,Organic Fraction (t),"26,383",1
94,,4022100,2014,Organic Fraction (t),"11,869",1
95,,4022101,2014,Organic Fraction (t),"209,680",1
96,22102,4022102,2014,Organic Fraction (t),"235,323",1
97,22103,4022103,2014,Organic Fraction (t),"1.301,280",1
98,22229,4022229,2014,Organic Fraction (t),"459,980",1
99,22104,4022104,2014,Organic Fraction (t),"1.397,950",1
100,,4022105,2014,Organic Fraction (t),"37,812",1
101,22106,4022106,2014,Organic Fraction (t),"81,798",1
102,22108,4022108,2014,Organic Fraction (t),"77,483",1
103,,4022109,2014,Organic Fraction (t),"33,198",1
104,,4022110,2014,Organic Fraction (t),"226,774",1
105,,4022111,2014,Organic Fraction (t),"63,114",1
106,22112,4022112,2014,Organic Fraction (t),"11,416",1
107,22113,4022113,2014,Organic Fraction (t),"138,994",1
108,22114,4022114,2014,Organic Fraction (t),"325,581",1
109,22115,4022115,2014,Organic Fraction (t),"143,979",1
110,22116,4022116,2014,Organic Fraction (t),"552,516",1
111,22117,4022117,2014,Organic Fraction (t),"1.130,447",1
112,22118,4022118,2014,Organic Fraction (t),"616,693",1
113,22120,4022120,2014,Organic Fraction (t),"444,720",1
114,,4022121,2014,Organic Fraction (t),"104,891",1
115,,4022122,2014,Organic Fraction (t),"14,713",1
116,22123,4022123,2014,Organic Fraction (t),"166,795",1
117,22124,4022124,2014,Organic Fraction (t),"648,200",1
118,,4022125,2014,Organic Fraction (t),"56,980",1
119,,4022126,2014,Organic Fraction (t),"145,096",1
120,22127,4022127,2014,Organic Fraction (t),"262,673",1
121,22128,4022128,2014,Organic Fraction (t),"138,662",1
122,22129,4022129,2014,Organic Fraction (t),"29,229",1
123,22130,4022130,2014,Organic Fraction (t),"30,500",1
124,22131,4022131,2014,Organic Fraction (t),"127,423",1
125,,4022132,2014,Organic Fraction (t),"77,106",1
126,,4022133,2014,Organic Fraction (t),"26,759",1
127,,4022134,2014,Organic Fraction (t),"150,107",1
128,22136,4022136,2014,Organic Fraction (t),"200,530",1
129,22137,4022137,2014,Organic Fraction (t),"122,075",1
130,22138,4022138,2014,Organic Fraction (t),"16,949",1
131,22139,4022139,2014,Organic Fraction (t),"2.908,673",1
132,,4022140,2014,Organic Fraction (t),"158,328",1
133,22142,4022142,2014,Organic Fraction (t),"54,267",1
134,22143,4022143,2014,Organic Fraction (t),"1.546,509",1
135,22144,4022144,2014,Organic Fraction (t),"240,268",1
136,,4022145,2014,Organic Fraction (t),"458,505",1
137,,4022146,2014,Organic Fraction (t),"13,289",1
138,22147,4022147,2014,Organic Fraction (t),"919,949",1
139,,4022148,2014,Organic Fraction (t),"13,935",1
140,,4022149,2014,Organic Fraction (t),"8,287",1
141,22150,4022150,2014,Organic Fraction (t),"79,615",1
142,,4022151,2014,Organic Fraction (t),"383,565",1
143,,4022152,2014,Organic Fraction (t),"116,561",1
144,22153,4022153,2014,Organic Fraction (t),"2.554,929",1
145,,4022154,2014,Organic Fraction (t),"57,258",1
146,22155,4022155,2014,Organic Fraction (t),"150,674",1
147,22156,4022156,2014,Organic Fraction (t),"144,296",1
148,22157,4022157,2014,Organic Fraction (t),"24,287",1
149,,4022158,2014,Organic Fraction (t),"83,737",1
150,22135,4022135,2014,Organic Fraction (t),"142,465",1
151,22159,4022159,2014,Organic Fraction (t),"76,777",1
152,,4022160,2014,Organic Fraction (t),"170,274",1
153,22161,4022161,2014,Organic Fraction (t),"4.916,806",1
154,,4022162,2014,Organic Fraction (t),"57,908",1
155,22163,4022163,2014,Organic Fraction (t),"87,932",1
156,22164,4022164,2014,Organic Fraction (t),"17,907",1
157,22165,4022165,2014,Organic Fraction (t),"35,408",1
158,,4022166,2014,Organic Fraction (t),"65,962",1
159,,4022167,2014,Organic Fraction (t),"408,786",1
160,,4022168,2014,Organic Fraction (t),"151,634",1
161,22169,4022169,2014,Organic Fraction (t),"89,884",1
162,22170,4022170,2014,Organic Fraction (t),"91,000",1
163,22171,4022171,2014,Organic Fraction (t),"347,578",1
164,22172,4022172,2014,Organic Fraction (t),"95,698",1
165,22173,4022173,2014,Organic Fraction (t),"44,524",1
166,,4022174,2014,Organic Fraction (t),"225,540",1
167,,4022175,2014,Organic Fraction (t),"60,233",1
168,,4022176,2014,Organic Fraction (t),"108,316",1
169,22177,4022177,2014,Organic Fraction (t),"65,788",1
170,,4022178,2014,Organic Fraction (t),"66,224",1
171,22179,4022179,2014,Organic Fraction (t),"195,824",1
172,22180,4022180,2014,Organic Fraction (t),"166,409",1
173,22181,4022181,2014,Organic Fraction (t),"66,739",1
174,22182,4022182,2014,Organic Fraction (t),"168,624",1
175,22183,4022183,2014,Organic Fraction (t),"295,759",1
176,22184,4022184,2014,Organic Fraction (t),"31,507",1
177,,4022185,2014,Organic Fraction (t),"95,431",1
178,,4022186,2014,Organic Fraction (t),"287,127",1
179,,4022187,2014,Organic Fraction (t),"177,072",1
180,22188,4022188,2014,Organic Fraction (t),"161,609",1
181,22189,4022189,2014,Organic Fraction (t),"27,831",1
182,22190,4022190,2014,Organic Fraction (t),"150,823",1
183,22191,4022191,2014,Organic Fraction (t),"247,670",1
184,,4022192,2014,Organic Fraction (t),"198,177",1
185,22193,4022193,2014,Organic Fraction (t),"34,350",1
186,,4022194,2014,Organic Fraction (t),"30,860",1
187,22195,4022195,2014,Organic Fraction (t),"63,222",1
188,22196,4022196,2014,Organic Fraction (t),"558,768",1
189,22199,4022199,2014,Organic Fraction (t),"607,226",1
190,22200,4022200,2014,Organic Fraction (t),"125,856",1
191,,4022201,2014,Organic Fraction (t),"172,075",1
192,22202,4022202,2014,Organic Fraction (t),"38,846",1
193,22203,4022203,2014,Organic Fraction (t),"94,394",1
194,,4022204,2014,Organic Fraction (t),"224,993",1
195,22205,4022205,2014,Organic Fraction (t),"16.229,960",1
196,,4022206,2014,Organic Fraction (t),"77,428",1
197,,4022207,2014,Organic Fraction (t),"228,289",1
198,,4022208,2014,Organic Fraction (t),"11,062",1
199,22209,4022209,2014,Organic Fraction (t),"86,030",1
200,22210,4022210,2014,Organic Fraction (t),"39,891",1
201,,4022211,2014,Organic Fraction (t),"181,288",1
202,,4022212,2014,Organic Fraction (t),"167,040",1
203,22213,4022213,2014,Organic Fraction (t),"328,090",1
204,,4022214,2014,Organic Fraction (t),"74,361",1
205,,4022215,2014,Organic Fraction (t),"186,147",1
206,,4022216,2014,Organic Fraction (t),"29,274",1
207,,4022217,2014,Organic Fraction (t),"212,943",1
208,,4022220,2014,Organic Fraction (t),"35,038",1
209,,4022219,2014,Organic Fraction (t),"312,188",1
210,,4022221,2014,Organic Fraction (t),"60,924",1
211,22222,4022222,2014,Organic Fraction (t),"394,724",1
212,,4022223,2014,Organic Fraction (t),"39,275",1
213,22224,4022224,2014,Organic Fraction (t),"427,227",1
214,,4022225,2014,Organic Fraction (t),"219,986",1
215,22226,4022226,2014,Organic Fraction (t),"353,720",1
216,,4022227,2014,Organic Fraction (t),"40,993",1
217,22001,4022001,2015,Organic Fraction (t),"919,995",1
218,22002,4022002,2015,Organic Fraction (t),"129,601",1
219,22003,4022003,2015,Organic Fraction (t),"349,376",1
220,,4022004,2015,Organic Fraction (t),"28,210",1
221,22005,4022005,2015,Organic Fraction (t),"681,730",1
222,22006,4022006,2015,Organic Fraction (t),"2.112,637",1
223,22007,4022007,2015,Organic Fraction (t),"409,363",1
224,,4022009,2015,Organic Fraction (t),"690,766",1
225,22011,4022011,2015,Organic Fraction (t),"195,719",1
226,22013,4022013,2015,Organic Fraction (t),"256,281",1
227,22015,4022015,2015,Organic Fraction (t),"31,390",1
228,22017,4022017,2015,Organic Fraction (t),"190,119",1
229,22018,4022018,2015,Organic Fraction (t),"55,536",1
230,,4022019,2015,Organic Fraction (t),"37,768",1
231,,4022020,2015,Organic Fraction (t),"78,941",1
232,22021,4022021,2015,Organic Fraction (t),"75,856",1
233,22022,4022022,2015,Organic Fraction (t),"870,773",1
234,,4022023,2015,Organic Fraction (t),"86,592",1
235,,4022024,2015,Organic Fraction (t),"75,644",1
236,22025,4022025,2015,Organic Fraction (t),"447,330",1
237,22026,4022026,2015,Organic Fraction (t),"24,779",1
238,,4022027,2015,Organic Fraction (t),"76,530",1
239,,4022028,2015,Organic Fraction (t),"13,511",1
240,22029,4022029,2015,Organic Fraction (t),"117,029",1
241,,4022030,2015,Organic Fraction (t),"33,547",1
242,,4022031,2015,Organic Fraction (t),"172,558",1
243,22032,4022032,2015,Organic Fraction (t),"261,399",1
244,22033,4022033,2015,Organic Fraction (t),"50,466",1
245,22034,4022034,2015,Organic Fraction (t),"548,826",1
246,22035,4022035,2015,Organic Fraction (t),"180,937",1
247,22036,4022036,2015,Organic Fraction (t),"231,231",1
248,22037,4022037,2015,Organic Fraction (t),"144,195",1
249,22038,4022038,2015,Organic Fraction (t),"142,354",1
250,22039,4022039,2015,Organic Fraction (t),"660,953",1
251,22040,4022040,2015,Organic Fraction (t),"92,010",1
252,,4022041,2015,Organic Fraction (t),"287,294",1
253,22042,4022042,2015,Organic Fraction (t),"221,611",1
254,22043,4022043,2015,Organic Fraction (t),"98,468",1
255,22045,4022045,2015,Organic Fraction (t),"26,278",1
256,,4022046,2015,Organic Fraction (t),"66,523",1
257,22048,4022048,2015,Organic Fraction (t),"77,066",1
258,22047,4022047,2015,Organic Fraction (t),"387,039",1
259,22049,4022049,2015,Organic Fraction (t),"106,905",1
260,22050,4022050,2015,Organic Fraction (t),"813,025",1
261,22051,4022051,2015,Organic Fraction (t),"130,757",1
262,22052,4022052,2015,Organic Fraction (t),"115,870",1
263,22053,4022053,2015,Organic Fraction (t),"341,656",1
264,22054,4022054,2015,Organic Fraction (t),"13,816",1
265,,4022055,2015,Organic Fraction (t),"149,510",1
266,,4022056,2015,Organic Fraction (t),"70,117",1
267,,4022057,2015,Organic Fraction (t),"45,216",1
268,22058,4022058,2015,Organic Fraction (t),"51,044",1
269,22059,4022059,2015,Organic Fraction (t),"20,749",1
270,22060,4022060,2015,Organic Fraction (t),"30,498",1
271,22061,4022061,2015,Organic Fraction (t),"427,656",1
272,22062,4022062,2015,Organic Fraction (t),"671,989",1
273,,4022063,2015,Organic Fraction (t),"69,477",1
274,22228,4022228,2015,Organic Fraction (t),"404,495",1
275,22064,4022064,2015,Organic Fraction (t),"152,540",1
276,,4022066,2015,Organic Fraction (t),"160,968",1
277,22068,4022068,2015,Organic Fraction (t),"71,548",1
278,,4022069,2015,Organic Fraction (t),"62,996",1
279,,4022070,2015,Organic Fraction (t),"115,080",1
280,22071,4022071,2015,Organic Fraction (t),"42,410",1
281,,4022073,2015,Organic Fraction (t),"33,513",1
282,22074,4022074,2015,Organic Fraction (t),"124,753",1
283,,4022075,2015,Organic Fraction (t),"401,603",1
284,,4022076,2015,Organic Fraction (t),"33,833",1
285,22078,4022078,2015,Organic Fraction (t),"64,207",1
286,22079,4022079,2015,Organic Fraction (t),"555,048",1
287,,4022080,2015,Organic Fraction (t),"49,970",1
288,22081,4022081,2015,Organic Fraction (t),"310,792",1
289,,4022082,2015,Organic Fraction (t),"79,311",1
290,,4022083,2015,Organic Fraction (t),"126,817",1
291,,4022084,2015,Organic Fraction (t),"55,904",1
292,,4022085,2015,Organic Fraction (t),"54,011",1
293,,4022086,2015,Organic Fraction (t),"54,419",1
294,22087,4022087,2015,Organic Fraction (t),"588,590",1
295,,4022088,2015,Organic Fraction (t),"167,354",1
296,22089,4022089,2015,Organic Fraction (t),"140,636",1
297,,4022090,2015,Organic Fraction (t),"48,520",1
298,22091,4022091,2015,Organic Fraction (t),"37,705",1
299,22092,4022092,2015,Organic Fraction (t),"159,673",1
300,22093,4022093,2015,Organic Fraction (t),"125,966",1
301,,4022094,2015,Organic Fraction (t),"12,280",1
302,22095,4022095,2015,Organic Fraction (t),"83,108",1
303,,4022096,2015,Organic Fraction (t),"24,555",1
304,22097,4022097,2015,Organic Fraction (t),"103,523",1
305,22098,4022098,2015,Organic Fraction (t),"293,904",1
306,,4022099,2015,Organic Fraction (t),"28,182",1
307,,4022100,2015,Organic Fraction (t),"27,342",1
308,,4022101,2015,Organic Fraction (t),"209,380",1
309,22102,4022102,2015,Organic Fraction (t),"188,727",1
310,22103,4022103,2015,Organic Fraction (t),"1.157,231",1
311,22229,4022229,2015,Organic Fraction (t),"843,273",1
312,22104,4022104,2015,Organic Fraction (t),"122,994",1
313,,4022105,2015,Organic Fraction (t),"40,332",1
314,22106,4022106,2015,Organic Fraction (t),"83,391",1
315,22108,4022108,2015,Organic Fraction (t),"73,974",1
316,,4022109,2015,Organic Fraction (t),"34,822",1
317,,4022110,2015,Organic Fraction (t),"235,880",1
318,,4022111,2015,Organic Fraction (t),"64,997",1
319,22112,4022112,2015,Organic Fraction (t),"14,788",1
320,22113,4022113,2015,Organic Fraction (t),"104,349",1
321,22114,4022114,2015,Organic Fraction (t),"324,084",1
322,22115,4022115,2015,Organic Fraction (t),"146,706",1
323,22116,4022116,2015,Organic Fraction (t),"615,225",1
324,22117,4022117,2015,Organic Fraction (t),"138,672",1
325,22118,4022118,2015,Organic Fraction (t),"610,031",1
326,22120,4022120,2015,Organic Fraction (t),"460,521",1
327,,4022121,2015,Organic Fraction (t),"99,861",1
328,,4022122,2015,Organic Fraction (t),"27,023",1
329,22123,4022123,2015,Organic Fraction (t),"144,131",1
330,22124,4022124,2015,Organic Fraction (t),"536,797",1
331,,4022125,2015,Organic Fraction (t),"56,992",1
332,,4022126,2015,Organic Fraction (t),"151,218",1
333,22127,4022127,2015,Organic Fraction (t),"242,058",1
334,22128,4022128,2015,Organic Fraction (t),"148,188",1
335,22129,4022129,2015,Organic Fraction (t),"33,287",1
336,22130,4022130,2015,Organic Fraction (t),"31,453",1
337,22131,4022131,2015,Organic Fraction (t),"123,756",1
338,,4022132,2015,Organic Fraction (t),"85,223",1
339,,4022133,2015,Organic Fraction (t),"21,016",1
340,,4022134,2015,Organic Fraction (t),"147,378",1
341,22136,4022136,2015,Organic Fraction (t),"200,996",1
342,22137,4022137,2015,Organic Fraction (t),"118,119",1
343,22138,4022138,2015,Organic Fraction (t),"45,216",1
344,22139,4022139,2015,Organic Fraction (t),"3.961,396",1
345,,4022140,2015,Organic Fraction (t),"138,839",1
346,22142,4022142,2015,Organic Fraction (t),"41,717",1
347,22143,4022143,2015,Organic Fraction (t),"857,928",1
348,22144,4022144,2015,Organic Fraction (t),"214,453",1
349,,4022145,2015,Organic Fraction (t),"423,923",1
350,22230,4022230,2015,Organic Fraction (t),"712,873",1
351,22147,4022147,2015,Organic Fraction (t),"856,723",1
352,,4022148,2015,Organic Fraction (t),"44,577",1
353,,4022149,2015,Organic Fraction (t),"20,427",1
354,22150,4022150,2015,Organic Fraction (t),"123,814",1
355,,4022151,2015,Organic Fraction (t),"163,947",1
356,,4022152,2015,Organic Fraction (t),"119,607",1
357,22153,4022153,2015,Organic Fraction (t),"2.324,704",1
358,,4022154,2015,Organic Fraction (t),"60,327",1
359,22155,4022155,2015,Organic Fraction (t),"155,726",1
360,22156,4022156,2015,Organic Fraction (t),"154,452",1
361,22157,4022157,2015,Organic Fraction (t),"22,664",1
362,,4022158,2015,Organic Fraction (t),"180,544",1
363,22135,4022135,2015,Organic Fraction (t),"140,816",1
364,22159,4022159,2015,Organic Fraction (t),"78,054",1
365,,4022160,2015,Organic Fraction (t),"158,028",1
366,22161,4022161,2015,Organic Fraction (t),"4.898,288",1
367,,4022162,2015,Organic Fraction (t),"59,851",1
368,22163,4022163,2015,Organic Fraction (t),"90,443",1
369,22164,4022164,2015,Organic Fraction (t),"19,834",1
370,22165,4022165,2015,Organic Fraction (t),"35,719",1
371,22231,4022231,2015,Organic Fraction (t),"209,589",1
372,,4022167,2015,Organic Fraction (t),"405,182",1
373,,4022168,2015,Organic Fraction (t),"115,251",1
374,22169,4022169,2015,Organic Fraction (t),"91,777",1
375,22170,4022170,2015,Organic Fraction (t),"91,968",1
376,22171,4022171,2015,Organic Fraction (t),"315,857",1
377,22172,4022172,2015,Organic Fraction (t),"101,334",1
378,22173,4022173,2015,Organic Fraction (t),"45,365",1
379,,4022174,2015,Organic Fraction (t),"232,571",1
380,,4022176,2015,Organic Fraction (t),"95,692",1
381,22177,4022177,2015,Organic Fraction (t),"61,604",1
382,,4022178,2015,Organic Fraction (t),"55,279",1
383,22179,4022179,2015,Organic Fraction (t),"194,161",1
384,22180,4022180,2015,Organic Fraction (t),"147,887",1
385,22181,4022181,2015,Organic Fraction (t),"67,570",1
386,22182,4022182,2015,Organic Fraction (t),"160,968",1
387,22183,4022183,2015,Organic Fraction (t),"501,842",1
388,22184,4022184,2015,Organic Fraction (t),"91,921",1
389,,4022185,2015,Organic Fraction (t),"111,415",1
390,,4022187,2015,Organic Fraction (t),"179,458",1
391,22188,4022188,2015,Organic Fraction (t),"174,355",1
392,22189,4022189,2015,Organic Fraction (t),"28,072",1
393,22190,4022190,2015,Organic Fraction (t),"126,780",1
394,22191,4022191,2015,Organic Fraction (t),"247,484",1
395,,4022192,2015,Organic Fraction (t),"227,127",1
396,22193,4022193,2015,Organic Fraction (t),"37,557",1
397,,4022194,2015,Organic Fraction (t),"31,640",1
398,22195,4022195,2015,Organic Fraction (t),"65,969",1
399,22196,4022196,2015,Organic Fraction (t),"542,152",1
400,22199,4022199,2015,Organic Fraction (t),"393,111",1
401,22200,4022200,2015,Organic Fraction (t),"128,469",1
402,,4022201,2015,Organic Fraction (t),"178,926",1
403,22202,4022202,2015,Organic Fraction (t),"38,807",1
404,22203,4022203,2015,Organic Fraction (t),"119,514",1
405,,4022204,2015,Organic Fraction (t),"227,131",1
406,22205,4022205,2015,Organic Fraction (t),"15.972,080",1
407,,4022207,2015,Organic Fraction (t),"234,543",1
408,,4022208,2015,Organic Fraction (t),"10,813",1
409,22232,4022232,2015,Organic Fraction (t),"139,370",1
410,22209,4022209,2015,Organic Fraction (t),"76,132",1
411,22210,4022210,2015,Organic Fraction (t),"42,939",1
412,,4022211,2015,Organic Fraction (t),"165,835",1
413,,4022212,2015,Organic Fraction (t),"130,734",1
414,22213,4022213,2015,Organic Fraction (t),"253,268",1
415,,4022215,2015,Organic Fraction (t),"193,102",1
416,,4022216,2015,Organic Fraction (t),"21,492",1
417,,4022217,2015,Organic Fraction (t),"218,761",1
418,,4022220,2015,Organic Fraction (t),"62,771",1
419,,4022219,2015,Organic Fraction (t),"236,295",1
420,,4022221,2015,Organic Fraction (t),"61,740",1
421,22222,4022222,2015,Organic Fraction (t),"370,401",1
422,,4022223,2015,Organic Fraction (t),"113,518",1
423,22224,4022224,2015,Organic Fraction (t),"396,149",1
424,,4022225,2015,Organic Fraction (t),"208,586",1
425,22226,4022226,2015,Organic Fraction (t),"330,992",1
426,,4022227,2015,Organic Fraction (t),"40,641",1
427,22001,4022001,2016,Organic Fraction (t),"936,562",1
428,22002,4022002,2016,Organic Fraction (t),"181,140",1
429,22003,4022003,2016,Organic Fraction (t),"373,587",1
430,22235,4022235,2016,Organic Fraction (t),"217,393",1
431,,4022236,2016,Organic Fraction (t),"490,557",1
432,22237,4022237,2016,Organic Fraction (t),"65,271",1
433,22005,4022005,2016,Organic Fraction (t),"485,049",1
434,22006,4022006,2016,Organic Fraction (t),"2.309,430",1
435,22007,4022007,2016,Organic Fraction (t),"413,374",1
436,,4022009,2016,Organic Fraction (t),"654,810",1
437,22011,4022011,2016,Organic Fraction (t),"184,898",1
438,22013,4022013,2016,Organic Fraction (t),"233,046",1
439,22015,4022015,2016,Organic Fraction (t),"33,003",1
440,22017,4022017,2016,Organic Fraction (t),"175,132",1
441,22018,4022018,2016,Organic Fraction (t),"50,122",1
442,22021,4022021,2016,Organic Fraction (t),"71,153",1
443,22238,4022238,2016,Organic Fraction (t),"198,914",1
444,22239,4022239,2016,Organic Fraction (t),"73,708",1
445,22022,4022022,2016,Organic Fraction (t),"504,875",1
446,22025,4022025,2016,Organic Fraction (t),"461,419",1
447,22026,4022026,2016,Organic Fraction (t),"26,539",1
448,,4022027,2016,Organic Fraction (t),"83,407",1
449,22029,4022029,2016,Organic Fraction (t),"105,453",1
450,,4022030,2016,Organic Fraction (t),"35,761",1
451,22032,4022032,2016,Organic Fraction (t),"246,361",1
452,22033,4022033,2016,Organic Fraction (t),"50,343",1
453,22034,4022034,2016,Organic Fraction (t),"488,716",1
454,22035,4022035,2016,Organic Fraction (t),"235,832",1
455,22036,4022036,2016,Organic Fraction (t),"247,703",1
456,22037,4022037,2016,Organic Fraction (t),"156,465",1
457,22038,4022038,2016,Organic Fraction (t),"190,458",1
458,22039,4022039,2016,Organic Fraction (t),"676,402",1
459,22040,4022040,2016,Organic Fraction (t),"97,846",1
460,,4022041,2016,Organic Fraction (t),"307,289",1
461,22042,4022042,2016,Organic Fraction (t),"205,106",1
462,22043,4022043,2016,Organic Fraction (t),"36,805",1
463,22045,4022045,2016,Organic Fraction (t),"23,980",1
464,22240,4022240,2016,Organic Fraction (t),"240,705",1
465,,4022046,2016,Organic Fraction (t),"70,394",1
466,22048,4022048,2016,Organic Fraction (t),"107,977",1
467,22047,4022047,2016,Organic Fraction (t),"411,214",1
468,22049,4022049,2016,Organic Fraction (t),"75,906",1
469,22050,4022050,2016,Organic Fraction (t),"874,681",1
470,22051,4022051,2016,Organic Fraction (t),"143,042",1
471,22052,4022052,2016,Organic Fraction (t),"81,231",1
472,22053,4022053,2016,Organic Fraction (t),"368,918",1
473,22054,4022054,2016,Organic Fraction (t),"12,731",1
474,22241,4022241,2016,Organic Fraction (t),"300,467",1
475,22058,4022058,2016,Organic Fraction (t),"69,224",1
476,22059,4022059,2016,Organic Fraction (t),"29,128",1
477,22060,4022060,2016,Organic Fraction (t),"31,969",1
478,22061,4022061,2016,Organic Fraction (t),"429,769",1
479,22062,4022062,2016,Organic Fraction (t),"720,130",1
480,,4022063,2016,Organic Fraction (t),"73,981",1
481,22228,4022228,2016,Organic Fraction (t),"375,619",1
482,22064,4022064,2016,Organic Fraction (t),"179,824",1
483,,4022242,2016,Organic Fraction (t),"154,621",1
484,22068,4022068,2016,Organic Fraction (t),"74,851",1
485,,4022070,2016,Organic Fraction (t),"124,913",1
486,22071,4022071,2016,Organic Fraction (t),"45,392",1
487,22074,4022074,2016,Organic Fraction (t),"133,104",1
488,22233,4022233,2016,Organic Fraction (t),"534,708",1
489,22078,4022078,2016,Organic Fraction (t),"50,538",1
490,22079,4022079,2016,Organic Fraction (t),"505,762",1
491,,4022080,2016,Organic Fraction (t),"65,174",1
