id,latitude,longitude,name,cuisine,operator,street,city,postcode,housenumber,website,phone,email,type
FnD_id_268435080,46.0659754,11.1238802,Trattoria Al Mercato,,,Piazza Giovanni Battista Garzetti,Trento,38122,15,,,,restaurant
FnD_id_268435081,46.0658302,11.1236344,Borgo Nuovo Trento,fish;pizza,Altin Plaku S.N.C.,Prima Androna di Borgo Nuovo,Trento,38122,20,http://3portoni.it/,+39 0461 261375,info@3portoni.it,restaurant:fish;pizza
FnD_id_268436704,46.0656259,11.1244955,Uva & Menta Café,,Uva & Menta di Menta Maurizio,Piazza Giovanni Battista Garzetti,Trento,38122,5,http://www.uvaementa.it,+39 0461 231801,uvaementa@yahoo.it,cafe
FnD_id_268440165,46.0675591,11.1265373,Caffè Venezia,,,Largo Porta Nuova,Trento,38122,11,,+39 0461 262938,,cafe
FnD_id_268440174,46.0683129,11.1243598,Caffé Randrè,,Randrè S.N.C.,Largo Giosuè Carducci,Trento,38122,18,,+39 0461 234701,,bar
FnD_id_268440175,46.0688139,11.1261792,Kafè Matrix,,,Via Francesco Ferruccio,Trento,38122,2/2,,,,cafe
FnD_id_268803099,46.2779665,11.4452067,Agritur Maso Sorte,regional,,,,,,,,,restaurant:regional
FnD_id_269084179,46.1314238,11.2466976,Lion's Cafe,,,,,,,,,,pub
FnD_id_269142258,46.1351027,11.2502242,Imbarcadero,,,,,,,,,,pub
FnD_id_269145543,45.8949163,10.8702292,Alla Grotta,swiss,,Via Monte Brione,Arco,38062,5,www.allagrotta.com,+39 0464 553244,,restaurant:swiss
FnD_id_269193730,46.0647702,11.123413,Birreria Pizzeria Pedavena,,Ghesla Andrea,Piazza di Fiera,Trento,38122,13,http://www.birreriapedavena.com,+39 0461 986255,info@birreriapedavena.com,restaurant
FnD_id_269193732,46.0644782,11.1232307,Trattoria al Volt,italian;regional,,Via Santa Croce,Trento,38122,16,http://tienne.it/alvolt/,+39 0461 983776,trattoria_al_volt@yahoo.it,restaurant:italian;regional
FnD_id_269348441,46.191649,11.2594179,Snack Bar,,,,,,,,,,cafe
FnD_id_269348445,46.1601698,11.2345535,Albergo Dolomiti,,,,,,,,,,restaurant
FnD_id_269348447,46.1504823,11.2223731,Bar Esso,,,,,,,,,,cafe
FnD_id_269348458,46.1450325,11.2003238,Pizza,,,,,,,,,,fast_food
FnD_id_269348462,46.1479833,11.1879786,Bar Stella,,,,,,,,,,cafe
FnD_id_269349970,46.1120073,11.2108405,Bar Alla Valle,,,,,,,,,,cafe
FnD_id_269354624,46.0820622,11.1959831,Bar Alla Mochena,,,,,,,,,,cafe
FnD_id_269356399,46.0683757,11.2539178,Pizzeria Anna,,,,,,,,,,restaurant
FnD_id_269358762,46.2217887,11.3143086,Bar Vittoria,,,,,,,,,,cafe
FnD_id_269358764,46.2238841,11.3123512,Linard,,,,,,,,,,bar
FnD_id_269358770,46.2620421,11.3546478,Pizzeria 4 Venti,,,,,,,,,,restaurant
FnD_id_269512908,46.0707264,11.1246538,Pizzeria Primavera,pizza,,Via del Suffragio,Trento,38122,92,,+39 0461 239840,,restaurant:pizza
FnD_id_270160758,46.0669742,11.138757,,,,,,,,,,,fast_food
FnD_id_270673832,45.8824817,10.8457672,Punta Lido Caffè,,,,,,,,,,cafe
FnD_id_271009437,45.9120449,10.8365826,Ristorante alle Foci da Rita,regional,,,,,,,,,restaurant:regional
FnD_id_274232823,46.0731019,11.1623863,Oltrebar,,,,,,,,,,bar
FnD_id_274303880,46.2864764,11.4641409,Pub SottoZero,,,,,,,,,,pub
FnD_id_276923561,46.1339585,11.2571178,New Lido - Ristorante Pinseria,,,,,,,,,,restaurant
FnD_id_277695052,46.0865776,11.2033038,Bar,,,,,,,,,,cafe
FnD_id_277697218,46.0848853,11.2100564,"Pizzeria ""Belvedere""",pizza,,,,,,,,,cafe:pizza
FnD_id_279462366,46.0662262,11.156039,Open,,,,,,,,,,cafe
FnD_id_281297047,45.8739654,10.8665641,Bar alle Foci del Sarca,,,,,,,,,,cafe
FnD_id_281299831,45.8698926,10.8756521,Wind's Bar,,,Via Giacomo Matteotti,,38069,9,http://www.windsbar.com,+39 0464 505232,,pub
FnD_id_281692703,46.272539,11.4638938,Malga Salanzada,regional,,,,,,,,,restaurant:regional
FnD_id_285976123,46.1360828,11.3065372,Malga Cambroncoi,regional,,,,,,,,,restaurant:regional
FnD_id_288938675,46.0647594,11.1504525,Pizzeria OroStube,pizza,,Via Sommarive,Trento,38123,10,https://orostube.it/,+39 0461 816073,INFO@OROSTUBE.IT,restaurant:pizza
FnD_id_289225782,46.0661234,11.1548195,Pizzeria Salesà,pizza,,Piazza Giannatonio Manci,Povo,38123,14,http://www.pizzeriasalesa.it,+39 0461 810484,info@pizzeriasalesa.it,restaurant:pizza
FnD_id_289227941,46.0663277,11.155068,Pizza Rio,pizza,Andreatta Cristian,Via della Resistenza,Trento,38123,9a,,,,fast_food:pizza
FnD_id_290998952,46.1929312,11.1566275,Agriturismo Ai molini,regional,,,,,,http://www.agrituraimolini.it/,+39 0461 651088,,restaurant:regional
FnD_id_292021580,46.0753126,11.1378543,Pizzeria Quattro Stagioni,pizza,Ristoranti Trentini Associati srl,Via San Vito,Trento,38121,36,,+39 0461 987031,,restaurant:pizza
FnD_id_292021803,46.0760501,11.1467436,,,,,,,,,,,pub
FnD_id_292258759,46.3381184,11.0633214,Victor,pizza;regional;italian,,,,,,,,,restaurant:pizza;regional;italian
FnD_id_293118681,46.0237498,10.9833755,Bar PIazzetta,,,Piazza Alcide Degasperi,,,13,,,,cafe
FnD_id_293618246,46.0719284,11.2367012,Bar al Ponte,,,,,,,,,,cafe
FnD_id_293652175,46.0617389,11.2376065,Bar Alba,,,,,,,,,,cafe
FnD_id_293866039,46.060124,11.237059,Turismo,,,,,,,,,,restaurant
FnD_id_293869753,46.0604432,11.2403082,Bar Gelateria Alexander,,,,,,,,,,cafe
FnD_id_293869757,46.0601877,11.2404122,Osteria la vecchia Europa,,,,,,,,,,cafe
FnD_id_293870953,46.0603745,11.2420073,,,,,,,,,,,pub
FnD_id_293870954,46.0584071,11.2400496,La Vecchia Pergine,pizza,,,,,,,,,pub:pizza
FnD_id_298086065,46.0891148,11.1312588,,,,,,,,,,,cafe
FnD_id_298086066,46.0939699,11.1305891,Ristorante Ai Canopi,indian;pizza;regional,New Delhi S.N.C.,Via ai Bolleri,Martignano,38121,12/6,https://www.ristorantiindianitrento.com/,+39 461 1715283,ai.canopi@yahoo.it,restaurant:indian;pizza;regional
FnD_id_299263451,45.9077224,10.8409924,Caffè alla piazza,,,Piazza Cavour,Riva del Garda,38066,3,,,,cafe
FnD_id_299801308,45.8975846,10.8449852,Food & Drink Bar - Centro Sportivo Malossini,,,Via delle Ginestre,Riva del Garda,38066,3,,+39 366 284 8016,,cafe
FnD_id_299927723,46.1158602,10.8085216,Rifugio Ghedina,,,,,38070,,https://www.trentinorifugi.com/index.php?bsclef=schede_rifugi&ex=html&viewnews=ok&ln=it&id=76&catid=6,+39 0465 321808,,restaurant
FnD_id_301799493,46.1248315,10.7558523,Bicigrill Crosetta,,,,,,,,,,cafe
FnD_id_301805267,46.1187425,10.752345,Bar Marvi,,,,,,,,,,cafe
FnD_id_301863216,46.018774,10.9410165,New Entry,,,,,,,,,,cafe
FnD_id_302730973,46.2178798,11.1531916,Cadino,fish;pizza;regional,Malpaga E. & C. S.N.C.,Località Cadino,,,2,,+39 0461 650136,,restaurant:fish;pizza;regional
FnD_id_303781638,46.316382,11.5988409,Poldo Pub,,,,,,,,,,pub
FnD_id_303821900,45.9006962,10.8693286,,,,,,,,,,,cafe
FnD_id_303822584,46.3130928,11.6011867,Scarabelin,,,,,,,,,,bar
FnD_id_303825097,46.3117416,11.5994554,,,,,,,,,,,bar
FnD_id_303826366,46.3117817,11.6019811,Caffè Predazzo,,,,,,,,,,bar
FnD_id_303826370,46.3093023,11.6013606,Pizzeria Millenium,pizza,,,,,,,,,restaurant:pizza
FnD_id_303826374,46.3102985,11.6021108,PizzaTime,,,,,,,,,,fast_food
FnD_id_303828159,46.310868,11.6019299,Caorer,,,,,,,,,,bar
FnD_id_303828168,46.3109084,11.602838,Pizzeria L'arcade,austrian;beef_bowl;fine_dining;pizza,,,,,,,,,restaurant:austrian;beef_bowl;fine_dining;pizza
FnD_id_303832073,46.3139024,11.5995676,,,,,,,,,,,pub
FnD_id_303832096,46.3065591,11.5985512,Majestic,,,,,,,https://www.ristorantemajestic.it/,+390462501997,,restaurant
FnD_id_303850136,46.1937066,11.1327878,L'aquila nera,,Calliari Carmen,,,,2,,+39 0461 650422,,bar
FnD_id_304049307,46.3000019,11.5992861,Bar Loze,,,,,,,,,,bar
FnD_id_304632628,46.2320688,10.8274323,Pizzeria Ristorante Belvedere,,,,,,,https://campigliobelvedere.wixsite.com/belvedere,+39 0465 440396,,restaurant
FnD_id_304632785,46.2319049,10.8258796,Arnica,,,,,,,,,,cafe
FnD_id_304632837,46.2325953,10.8254299,Ristorante Pizzeria Le Roi,,,,,,,,,,restaurant
FnD_id_305506283,46.4202107,11.6737469,Bar Ladin,,,,,,,,,,bar
FnD_id_305506310,46.4202886,11.6756878,Bar Mirella,,,,,,,,,,bar
FnD_id_307458936,46.3520863,11.6313406,Bar Giardino,,,,,,,,,,bar
FnD_id_312161357,45.8691461,10.8763072,Pizzeria Kebab Family,,,Lungolago Conca d'Oro,Nago-Torbole,38069,1,,+39 0464 875170,,fast_food
FnD_id_317526677,45.9886994,11.3006401,Paoli Hotel - Antica Trattoria alla Vedova,,,,,,,,,,restaurant
FnD_id_317916380,46.0625425,11.2428875,Bar Commercio,,,,,,,,,,cafe
FnD_id_319912435,46.0767805,11.0022348,Snack Bar al Bersaglio,,,Via Ronch,,38070,12,,+39 0461 864906,,cafe
FnD_id_319917018,46.1121336,11.0470198,Agritur Le Vallene,regional,,,,,,,,,restaurant:regional
FnD_id_322895287,46.2825141,11.5229928,La Trattoria,,,,,,,,,,restaurant
FnD_id_324160740,45.9030479,10.8604296,Pronto Pizza,pizza,,Località San Tomaso,,38066,47,,+39 333 4855804,,fast_food:pizza
FnD_id_333696251,46.4078686,10.811127,Caffè Posta,,,,,,,,,,cafe
FnD_id_333783337,46.3149326,10.8125093,Al cervo,regional,,,,,,,,,restaurant:regional
FnD_id_333785006,46.3012316,10.8100621,International,,,,,,,,,,cafe
FnD_id_333786122,46.3004718,10.8098839,Bar Paninoteca Centro Scuola di Sci,,,,,,,,,,cafe
FnD_id_333790690,46.3269171,10.8725986,Snoopy,,,,,,,,,,cafe
FnD_id_333791073,46.3253644,10.8747346,Pasticceria,,,,,,,,,,cafe
FnD_id_333791569,46.230922,10.8265841,La Cantina di Suisse,regional,,,,,,,,,restaurant:regional
FnD_id_333791574,46.2295525,10.8268076,Caffé Maturi,,,,,,,,,,cafe
FnD_id_334787448,46.3824461,10.9721387,Al Pescatore,regional,,,,,,,,,restaurant:regional
FnD_id_335596730,46.3525109,10.9126505,El Barba,regional,,,,,,,,,restaurant:regional
FnD_id_335691573,46.4884219,11.8108642,Bar Funivia,,,Strada Statale 48 delle Dolomiti,,,19,,,,cafe
FnD_id_341091742,46.2155184,11.0870302,Osteria Al Travaion,,,,,,,,,,restaurant
FnD_id_347042460,45.9108129,10.8723379,Dna Cafè,,,Via Santa Caterina,Arco,38062,74b,https://www.dnacafe.it/,+39 0464 519551,,cafe
FnD_id_355968440,46.1891991,11.1287253,Capriccio,pizza;regional,"Corazza Barbara, Mauro & C.",Via Don A. Tamanini,San Michele all'Adige,38098,47,,+39 0461 650699,,restaurant:pizza;regional
FnD_id_363578299,46.3426856,11.1276835,Pizzeria Credai,pizza,,,,,,,,,restaurant:pizza
FnD_id_363579455,46.364743,11.1000197,Agritur Agostini,,,,,,,,,,restaurant
FnD_id_365499674,46.0882875,11.1211946,NoFormat,pizza,,Via dei Solteri,Trento,38121,39/9,https://pizzerianoformat.it/,+39 0461 829523,,restaurant:pizza
FnD_id_365499676,46.0872317,11.1213588,Caffè al Parco,,Framar S.A.S.,Via dei Solteri,Trento,38121,36,,+39 0461 820701,,cafe
FnD_id_367891658,45.9504653,11.2633815,Bar Belem,,,,,,,,,,bar
FnD_id_367891752,45.9397116,11.2694047,Caffè del Centro,,,,,,,,,,cafe
FnD_id_367891767,45.9403338,11.2721518,Bismarck Pub,,,,,,,,,,pub
FnD_id_369568235,45.9256591,10.8322504,Agritur Calvola,regional,Bruno Santoni,Via Villa Calvola,,38060,62,http://www.agriturcalvola.it/,+39 348 5502645,info@agriturcalvola.it,restaurant:regional
FnD_id_388930801,46.3001554,11.4475121,La Lanterna,pizza,,,,,,,,,restaurant:pizza
FnD_id_388981198,46.2965692,11.4994485,Agritur Zanon,regional,,,,,,,,,restaurant:regional
FnD_id_393414342,45.7800394,10.9442018,,,,,,,,,,,restaurant
FnD_id_409512993,45.8846684,10.8358707,Bar Belvedere,,,,,38066,,,,,bar
FnD_id_414988154,46.3515584,10.6939322,Al filo,,,Via Roma,,,29,,,,pub
FnD_id_415504641,46.3256919,10.8611651,Dolomiti,pizza;regional,,,,,,http://www.ristorantedolomiti.it,,,restaurant:pizza;regional
FnD_id_416983481,46.1231693,11.2595873,Al Mas,regional;italian;steak_house,,,,,,,+39 0461 557540,,restaurant:regional;italian;steak_house
FnD_id_417409264,45.890071,11.0439476,Caffè Bontadi,,,Piazza Cesare Battisti,Rovereto,38068,14,,,,cafe
FnD_id_417409269,45.8903566,11.043829,,,,Via Orefici,Rovereto,38068,6,,,,restaurant
FnD_id_417409275,45.8888367,11.0435761,Kebab,kebab,,,,,,,,,fast_food:kebab
FnD_id_417409352,45.893233,11.0437764,Bar Teatro,,,,,,,,,,bar
FnD_id_417675381,46.0471016,11.2333835,Angi,italian,,Via dell'Angi,Pergine Valsugana,38057,61,,,,restaurant:italian
FnD_id_417707845,46.058526,11.2141223,Birreria Rosa Nera,,,,,,,,,,pub
FnD_id_417856704,45.8751426,11.0335673,Pizzeria Botti,pizza,,Corso Verona,Rovereto,38068,76,https://www.pizzeriabotti.it/,0464 432521,,restaurant:pizza
FnD_id_419006406,46.0802374,11.2758124,Al Sole,,,,,,,,,,bar
FnD_id_427836296,46.0516786,11.1439074,Terzo Tempo,,,,,,,,,,bar
FnD_id_427941701,46.0579685,11.1325256,Blu Bar,,,Largo Medaglie d'Oro,Trento,38122,,,,,cafe
FnD_id_427963784,46.0467834,11.13082,,,,,,,,,,,cafe
FnD_id_427963787,46.044405,11.1308029,Caffè ENI,,,Viale Verona,Trento,38123,210,,,,cafe
FnD_id_427963797,46.0445367,11.1288494,Mordi e Fuggi,,,Centro direzionale Trento Sud,Trento,38123,8,,,,cafe
FnD_id_428313987,46.0527036,11.1245503,Bar Cadorin,,,,,,,,,,bar
FnD_id_428313991,46.0515335,11.1234223,Bar Centauro,,,,,,,,,,bar
FnD_id_428313992,46.0486811,11.1264589,,,,Via Alcide De Gasperi,Trento,38123,51,,,,bar
FnD_id_428639276,46.0475076,11.1261306,Niky's,,,Via Enrico Fermi,Trento,38123,7,https://www.nikys.it/,+39 0461 390828,info@nikys.it,restaurant
FnD_id_428644278,46.0559897,11.1314758,Loto 1997,italian,LOTO s.r.l.,Via Gocciadoro,Trento,38122,62,https://www.lototrento.it/,+39 0461 1863052,,restaurant:italian
FnD_id_428817942,45.9742277,11.2446893,Speckstube,,,,,,,,,,restaurant
FnD_id_430531035,46.0563197,11.1287617,Blue Sax,pizza,MAGA S.R.L.,Viale Verona,Trento,38123,73,,+39 0461 910076,,restaurant:pizza
FnD_id_430543937,46.0067576,11.1285775,"Bar Pasticceria ""Dolce Cuore""",,,Piazza Perini Quintilio,Trento,38123,14,,+39 0461 946271,,cafe
FnD_id_430548245,45.9956301,11.2149231,Cafè Nol,,,,,,,,,,pub
FnD_id_430669783,46.0684026,11.1214187,Dolce vita,,,Via Rodolfo Belenzani,Trento,38122,33/1,,,,cafe
FnD_id_430673952,46.0689296,11.1190618,Bar Picaro,,,Via San Giovanni,Trento,38122,36/2,,,,pub
FnD_id_430673959,46.0690767,11.118671,Sapori d'Asia,chinese,Nuova Asia SAS Xie Bingchu & C.,Via della Prepositura,Trento,38122,15,,,,restaurant:chinese
FnD_id_430675311,46.0696196,11.1199679,"""New Friends"" Kebab",kebab,,Via Andrea Pozzo,Trento,38122,13,,,,fast_food:kebab
FnD_id_430690364,46.0695701,11.1237585,Caffè Città,,B&B Caffè Città S.N.C.,Piazza Cesare Battisti,Trento,38122,10,,+39 0461 230265,,bar
FnD_id_430690365,46.0699127,11.1243109,Caffè Excelsior,biscuit,Giupponi Daniela,Via Giannantonio Manci,Trento,38122,86,,+39 0461 261304,caffeexcelsior@gmail.com,cafe:biscuit
FnD_id_431475183,46.0406051,11.1329032,La Terrazza,indian;italian;pizza,,Piazzale Europa,Trento,38123,16,,+39 0461 390060,,restaurant:indian;italian;pizza
FnD_id_431618062,46.0774234,11.1198401,Bar Zinzorla,,,,,,,,,,bar
FnD_id_431618063,46.0773477,11.120283,Pasticceria Bar Mazzoleni,,,Via Antonio Stoppani,Trento,38121,29,,,,cafe
FnD_id_431622342,46.0769884,11.118133,Bar Cristallo,,,,,,,,,,bar
FnD_id_431622343,46.0790436,11.1167349,Bar Rosy,,,Via Giovanni Pedrotti,Trento,38122,10,,,,bar
FnD_id_431632342,46.0697032,11.115753,Bar Funivia 2.0,,,Lungadige Monte Grappa,Trento,38121,1,,,,bar
FnD_id_431632344,46.0702941,11.1164027,ENI,,,,,,,,,,cafe
FnD_id_431648974,46.0663738,11.1147776,lépoque,,,Via Roberto da Sanseverino,Trento,38122,27,,,,bar
FnD_id_431648975,46.064995,11.1141049,Sapori Mediterranei,fish;pizza;barbecue,,Via Roberto da Sanseverino,Trento,38123,39/4,,+39 0461 984360,sapori.mediterranei@hotmail.it,restaurant:fish;pizza;barbecue
FnD_id_431658690,46.0665687,11.1171685,Pizzeria da Albert,pizza,,Via Giuseppe Verdi,Trento,38122,15b,,+39 0461 231712,,restaurant:pizza
FnD_id_431658693,46.0651062,11.1174849,Burger Fucktory,pizza,,Via Bernardino Bomporto,Trento,38122,2,https://www.burgerfucktory.com/,,,restaurant:pizza
FnD_id_431658702,46.0661201,11.1189879,Bar da Giorgio,,,Via Antonio Rosmini,Trento,38122,56,https://www.facebook.com/BarDaGiorgioTrento,,,bar
FnD_id_431658706,46.0658461,11.1194973,Università,,,,,,,,,,bar
FnD_id_431658709,46.0657418,11.121244,Pizzeria Tetley's,pizza,Irma S.A.S. & C.,Via degli Orti,Trento,38122,1,https://www.tetleyspub.it/,+39 0461 233477,info@tetleyspub.it,restaurant:pizza
FnD_id_431658713,46.0655854,11.1222669,Orso Grigio,italian;regional,,Via degli Orti,Trento,38122,19,http://www.orsogrigiotrento.com/,+39 0461 984400,info@orsogrigiotrento.com,restaurant:italian;regional
FnD_id_432111591,46.0572157,11.1180954,Bar Prati,,Jiang Kongbo,Via dei Muredei,Trento,38122,4,,,,bar
FnD_id_432464291,46.0589998,11.1250541,Bar Florida,,,Via Vittorio Veneto,Trento,38122,134,,+39 0461 913258,,bar
FnD_id_432464294,46.0597116,11.1256286,dasQ,,das Q di Karpuzi Shkumbin,Via Vittorio Veneto,Trento,38122,77,,,,bar
FnD_id_432473109,46.0635732,11.1310495,Ristorante Pizzeria Doc,pizza;regional;breakfast;coffee_shop;bavarian;italian;italian_pizza;local;german;friture;seafood;ice_cream;pasta;chicken;sausage;cake;tea,Santoni Adam,Via Milano,,,148,http://www.doctrento.it,+39 0461 262022,info@doctrento.it,restaurant:pizza;regional;breakfast;coffee_shop;bavarian;italian;italian_pizza;local;german;friture;seafood;ice_cream;pasta;chicken;sausage;cake;tea
FnD_id_432473110,46.0631918,11.131557,,,,,,,,,,,bar
FnD_id_432480281,46.0639827,11.1233476,Tre Portoni,,Danjel Snalla & C.,Via Santa Croce,Trento,38122,48,,,,cafe
FnD_id_432480294,46.0589855,11.1191431,pausa kaffè,,,Via Giuseppe Giusti,Trento,38122,45,,,,bar
FnD_id_432873025,46.0945843,11.1098303,Monkey Bar,,,Via Giambattista Unterveger,Trento,38121,100,,,,bar
FnD_id_432987066,46.0377468,11.1053814,Pizzeria da Mimmo,pizza,,,,,,,,,restaurant:pizza
FnD_id_433478402,46.0597773,11.2378459,,,,,,,,,,,cafe
FnD_id_434132756,46.1766399,11.0532357,,,,,,,,,,,pub
FnD_id_434228670,46.0485967,11.145905,,,,,,,,,,,bar
FnD_id_434228673,46.048683,11.1458639,Pizzeria d'asporto,pizza,,,,,,,,,fast_food:pizza
FnD_id_436621585,46.0829771,11.1993315,,,,,,,,,,,bar
FnD_id_438166682,46.0679096,11.1186296,Oishy,ramen;sushi,Wei Zhang,Via Antonio Rosmini,Trento,38122,18,,,,restaurant:ramen;sushi
FnD_id_438257270,46.0425424,11.1128479,Bar Agip,,,,,,,,,,cafe
FnD_id_439194215,45.9875898,11.2542408,Il chiosco di Alice,,,,,,,,,,bar
FnD_id_439723633,45.9693135,11.2326193,Pizzeria Tre novembre,italian_pizza,,Via Don Carlo Rossi,Altopiano della Vigolana,38049,13,,,,restaurant:italian_pizza
FnD_id_439912351,46.0684346,11.1246215,Assaje,pizza,,Largo Giosuè Carducci,Trento,38122,25,,,,restaurant:pizza
FnD_id_439912454,46.0648607,11.1236736,Baccus,,,Piazza di Fiera,Trento,38122,11,,,,bar
FnD_id_440503597,46.1976615,11.2032566,Happy Ranch,,,Località Lago Santo,Cembra,38034,,http://www.happy-ranch.com,+39 0461 683518,info@happy-ranch.it,restaurant
FnD_id_441414833,46.0474674,11.1451618,Ristorante Bar Pizzeria,indian;pizza,,,,,,,,,restaurant:indian;pizza
FnD_id_441880019,45.8690229,10.874958,La Terrazza,,,Via Benaco,,,24,http://www.allaterrazza.com,,,restaurant
FnD_id_442218340,46.0668061,11.1405959,"Trattoria ""Al Parol""",italian,,Via Mesiano,Trento,,40,,,,restaurant:italian
FnD_id_442928069,45.8545873,10.9463595,La Mela,,,,,,,,,,restaurant
FnD_id_443507904,46.0004493,11.2083091,Bar Manta,,,,,,,,,,bar
FnD_id_444363305,46.0758689,11.2071782,Bar Agip,,,,,,,,,,bar
FnD_id_445562136,45.8748472,11.033247,Pizzeria Okay,,,,,,,,,,restaurant
FnD_id_450135955,46.1668439,11.105462,La Fenice,,,Via Quattro Novembre,,38097,25,,,lafenice.spadp@gmail.com,cafe
FnD_id_456830729,46.0780116,11.2780202,Osteria storica Morelli,,,,,,,,,,restaurant
FnD_id_457521149,45.7949703,11.0960875,La Svolta,italian,,,,,,,,,restaurant:italian
FnD_id_457551203,45.8803073,10.8556849,Pizzeria Bavaria,italian,,Viale Rovereto,Riva del Garda,38066,100,,,,restaurant:italian
FnD_id_459656419,46.1431234,10.9660326,Taverna La Botte,,,Via Cima Tosa,Molveno,38018,4,http://www.tavernalabotte.it/,+39 0461 586948,info@tavernalabotte.it,restaurant
FnD_id_459656425,46.1406246,10.9619447,Al Caminetto,,,,,,,,,,restaurant
FnD_id_462127221,46.0992927,10.6953547,Baite di Prà,agritur,,,,,,,,,restaurant:agritur
FnD_id_463189395,46.0675785,11.1202669,Ai Vicoli,,,Piazza Santa Teresa Verzeri,Trento,38122,1,http://www.aivicoli.it/,+39 0461 260673,info@aivicoli.it,restaurant
FnD_id_463547596,46.2232952,11.8884108,Malga Canali,regional,,,,,,,,,restaurant:regional
FnD_id_468069349,46.0760979,11.1240728,Ristorante Pizzeria Nuova Castelli,pizza;italian,,,,,,,+39 0461 827079,,restaurant:pizza;italian
FnD_id_471114151,46.0736674,11.3016006,Aquila Nera,,,,,,,,+39 0461 549090,,restaurant
FnD_id_471114173,46.0747699,11.3027031,Albergo ristorante Kamauz,,,,,,,,,,restaurant
FnD_id_472092067,46.1315158,11.3682325,agritur Scalzerhof,,,,,,,,,,restaurant
FnD_id_474558106,46.0704114,11.1223594,Bar Galasso,,,Via Torre Verde,Trento,38122,4,,,,bar
FnD_id_475083135,46.0747591,11.1221135,Eurocafè,,M. Agostino & C.,Via Giovanni Segantini,Trento,38122,27,,,,cafe
FnD_id_478522448,46.0943119,11.2334908,Pizzeria Comparsa - Al Baracca,pizza,,,,,,,,,restaurant:pizza
FnD_id_478534653,46.0781553,11.205583,Ciré Stube,,,,,,,,,,bar
FnD_id_478534965,46.0788379,11.2037412,Ristorante pizzeria La Corte,,,,,,,,,,restaurant
FnD_id_478679524,46.0764157,11.2075404,Break Point SS47 - Hotel e ristorante,,,,,,,,,,restaurant
FnD_id_478707842,46.1353317,11.3234127,Passo Redebus,,,,,,,,,,bar
FnD_id_479002736,46.0594788,11.2392525,Bar Oko,,,,,,,,,,bar
FnD_id_482018936,46.1291452,11.2447454,La scardola,,,,,,,,,,restaurant
FnD_id_482531366,46.0613829,11.2428217,Osteria Al Moro,,,,,,,,,,restaurant
FnD_id_482716381,46.0586983,11.2373554,Alla Rotonda,,,,,,,,,,restaurant
FnD_id_482722162,46.0590279,11.2370738,Cuba,,,,,,,,,,bar
FnD_id_482849666,46.0618088,11.2417648,Cristallo,,,,,,,,,,restaurant
FnD_id_484919953,46.1589433,11.3282197,Agritur Malga Stramaiolo,regional,,,,,,,,,restaurant:regional
FnD_id_489680926,46.0503024,11.2568822,Pizzeria Baitella,pizza,,,,,,,,,restaurant:pizza
FnD_id_489869143,45.8749189,10.8722629,In & Out Cafe,sandwich;ice_cream,,Via Giacomo Matteotti,Nago-Torbole,38069,103,https://www.casamorandi.it/it-it/p/6/in---out-caf-,+39 0464 505239,,cafe:sandwich;ice_cream
