id;name;latitude;longitude;geometry;memorial_type;inscription;type
765601131;Ponte Balandino;46.0504072;10.8997846;POINT (10.8997846 46.0504072);;;
769164995;Unnamed;45.8567054;10.8210897;POINT (10.8210897 45.8567054);;;
789964234;Al Fante d'Italia;45.8889558;11.0357545;POINT (11.0357545 45.8889558);war_memorial;;memorialwar_memorial
796380013;Fausto Coppi;46.4881479;11.8114019;POINT (11.8114019 46.4881479);;;
813242389;Unnamed;45.783238;10.9122978;POINT (10.9122978 45.783238);obelisk;;memorialobelisk
833834675;Unnamed;45.9327152;10.5363008;POINT (10.5363008 45.9327152);;;
851097491;Unnamed;45.8846144;11.0179589;POINT (11.0179589 45.8846144);;;
852064195;Unnamed;46.2638672;11.0862417;POINT (11.0862417 46.2638672);;;
852064717;Masi ai suoi caduti;46.245645;11.0678022;POINT (11.0678022 46.245645);;;
859540405;Unnamed;46.2132802;11.0927704;POINT (11.0927704 46.2132802);;;
859560024;Luogo di nascita di Giovanni Antonio Scopoli;46.2910507;11.4605863;POINT (11.4605863 46.2910507);;;
888671497;Caduti di Nassirya;46.0855668;11.1188142;POINT (11.1188142 46.0855668);sculpture;;memorialsculpture
928357843;Pio XII;46.2114387;11.0937177;POINT (11.0937177 46.2114387);;;
930522302;Giacomo Bresadola;46.0721582;11.1201432;POINT (11.1201432 46.0721582);bust;;memorialbust
930522360;Giosuè Carducci;46.0720418;11.1202343;POINT (11.1202343 46.0720418);bust;;memorialbust
930522432;Antonio Gazzoletti;46.0722132;11.12046;POINT (11.12046 46.0722132);bust;;memorialbust
930522481;Giuseppe Verdi;46.0717375;11.1198398;POINT (11.1198398 46.0717375);bust;;memorialbust
936516624;Giovanni Canestrini;46.0705151;11.1213585;POINT (11.1213585 46.0705151);bust;;memorialbust
939851061;Unnamed;46.0694905;11.1185666;POINT (11.1185666 46.0694905);;;
941969403;Monumento a Don Grazioli;46.1397591;11.1114677;POINT (11.1114677 46.1397591);statue;;memorialstatue
948758492;Enrico Conci;46.0723389;11.1208411;POINT (11.1208411 46.0723389);bust;;memorialbust
950503722;Guglielmo Ranzi;46.0712885;11.120702;POINT (11.120702 46.0712885);plaque;;memorialplaque
950503737;Famiglia Trentina;46.0703897;11.120492;POINT (11.120492 46.0703897);sculpture;;memorialsculpture
950503807;Eusebio Francesco Chini;46.0709691;11.1206415;POINT (11.1206415 46.0709691);obelisk;;memorialobelisk
956203583;Unnamed;46.2152989;11.0929332;POINT (11.0929332 46.2152989);;;
956203626;Al Bersagliere;46.2116303;11.0941873;POINT (11.0941873 46.2116303);;;
959911027;Giovanni Prati;46.0717848;11.1210941;POINT (11.1210941 46.0717848);bust;;memorialbust
960695300;Antonio Rosmini;46.0609814;11.1251935;POINT (11.1251935 46.0609814);plaque;;memorialplaque
960695319;Unnamed;46.0730684;11.119743;POINT (11.119743 46.0730684);;;
960695321;Monumento ai ferrovieri;46.0730331;11.1197147;POINT (11.1197147 46.0730331);war_memorial;Ai ferrovieri caduti per la patria e sul lavoro;memorialwar_memorial
966971024;Luigi Negrelli;46.0719648;11.1209339;POINT (11.1209339 46.0719648);sculpture;;memorialsculpture
973022397;Unnamed;46.2161285;11.0877354;POINT (11.0877354 46.2161285);;;
975205647;Unnamed;46.2995861;11.4497067;POINT (11.4497067 46.2995861);war_memorial;;memorialwar_memorial
975242535;Monumento ai Caduti;46.2885127;11.4613463;POINT (11.4613463 46.2885127);war_memorial;;memorialwar_memorial
975266382;Unnamed;46.2741166;11.4168664;POINT (11.4168664 46.2741166);war_memorial;;memorialwar_memorial
975288676;Unnamed;46.0770972;11.11957;POINT (11.11957 46.0770972);obelisk;;memorialobelisk
1010809755;Martino Martini;46.0630917;11.1239357;POINT (11.1239357 46.0630917);statue;;memorialstatue
1024749083;Monumento al Marinaio;45.8840151;10.8402593;POINT (10.8402593 45.8840151);;;
1024752266;Unnamed;45.8692439;10.8764661;POINT (10.8764661 45.8692439);stele;;memorialstele
1037290924;Enea Silvio Piccolomini;46.0675519;11.1200759;POINT (11.1200759 46.0675519);bust;;memorialbust
1079859437;Unnamed;46.209071;11.093628;POINT (11.093628 46.209071);;;
1100568084;Monumento ai Caduti;46.3527507;10.9144089;POINT (10.9144089 46.3527507);war_memorial;;memorialwar_memorial
1122600616;Giovanni Nepomuceno;46.1938328;11.1332573;POINT (11.1332573 46.1938328);;;
1122600753;Giovanni Nepomuceno;46.1949838;11.1329545;POINT (11.1329545 46.1949838);;;
1126325611;Castel Barco;45.9306089;11.0576106;POINT (11.0576106 45.9306089);;;
1132433117;Monumento ai caduti;45.9349983;11.094176;POINT (11.094176 45.9349983);war_memorial;CALLIANO in memoria di coloro che non sono tornati;memorialwar_memorial
1136484210;Unnamed;46.2507819;11.1682994;POINT (11.1682994 46.2507819);;;
1156296729;Unnamed;46.0203919;11.1270777;POINT (11.1270777 46.0203919);statue;;memorialstatue
1162579906;Unnamed;46.171033;11.2474095;POINT (11.2474095 46.171033);;;
1297477206;Gardolo ai suoi caduti;46.1082602;11.1114517;POINT (11.1114517 46.1082602);war_memorial;;memorialwar_memorial
1300140587;Castello di Nomi;45.9308233;11.0733962;POINT (11.0733962 45.9308233);;;
1302589524;Unnamed;46.0720439;11.112492;POINT (11.112492 46.0720439);;;
1307223891;Cannone della Batteria Battisti;46.0729287;11.1132622;POINT (11.1132622 46.0729287);war_memorial;;memorialwar_memorial
1311009128;Santa Chiara;46.0577667;11.1327771;POINT (11.1327771 46.0577667);statue;;memorialstatue
1313426815;Unnamed;45.804498;10.8915345;POINT (10.8915345 45.804498);;;
1351405865;Unnamed;46.1664168;11.1098139;POINT (11.1098139 46.1664168);;;
1362741221;Altare di Papa Giovanni Paolo II;46.1677914;10.5663573;POINT (10.5663573 46.1677914);stone;A perenne ricordo della visita di Papa Giovanni Paolo II. 16-17 luglio 1984. Gli Alpini;memorialstone
1363980661;Unnamed;46.0714371;11.0601754;POINT (11.0601754 46.0714371);war_memorial;"Guerra1940-1945 |
Guerra A.O.I 1935-1936 |
Guerra Mondiale1914-1918";memorialwar_memorial
1381050980;Unnamed;46.2182198;11.0478546;POINT (11.0478546 46.2182198);;;
1381659946;Unnamed;45.916789;11.0614351;POINT (11.0614351 45.916789);;;
1392014621;Capitello di Sant'Antonio;45.9114997;11.0840245;POINT (11.0840245 45.9114997);;;
1392365853;Madonnina del Doss;46.301999;10.8773219;POINT (10.8773219 46.301999);;;
1432766653;US Navy Neptune 1957 Air Crash;46.2435287;11.878037;POINT (11.878037 46.2435287);;;
1451988615;Toss ai suoi caduti;46.2766199;11.0808855;POINT (11.0808855 46.2766199);war_memorial;;memorialwar_memorial
1525471505;Ai Caduti;46.1641485;11.0028366;POINT (11.0028366 46.1641485);;;
1559031342;Obice a.u. 305;45.8867283;11.045503;POINT (11.045503 45.8867283);war_memorial;;memorialwar_memorial
1563100696;Luigi Negrelli;46.1744657;11.8267027;POINT (11.8267027 46.1744657);;;
1563104190;Capitello San Antonio;46.1683593;11.7846801;POINT (11.7846801 46.1683593);;;
1590167269;Unnamed;46.299271;11.0311567;POINT (11.0311567 46.299271);;;
1593751061;Antonio Rosmini;45.8911293;11.0422036;POINT (11.0422036 45.8911293);bust;;memorialbust
1601137411;Memoriale Boninsegna 1916;45.8624129;10.8322553;POINT (10.8322553 45.8624129);;Volontario Guido Boninsegna caduto 10.04.1916;
1608853204;Unnamed;45.8773439;11.0971621;POINT (11.0971621 45.8773439);;;
1619079060;All'Alpino;45.8859952;11.0402165;POINT (11.0402165 45.8859952);;;
1660839180;Monumento ai Caduti;46.0850798;11.213966;POINT (11.213966 46.0850798);war_memorial;;memorialwar_memorial
1690521197;Unnamed;45.838636;10.7925557;POINT (10.7925557 45.838636);;;
1809162158;Fornace ai Caduti;46.1179665;11.2074617;POINT (11.2074617 46.1179665);war_memorial;;memorialwar_memorial
1816253199;Ruderi Castel Pradaglia;45.879245;11.0145877;POINT (11.0145877 45.879245);;;
1838686226;Unnamed;45.8418638;11.0076363;POINT (11.0076363 45.8418638);;;
1840022067;Unnamed;46.4045842;11.7081389;POINT (11.7081389 46.4045842);;Sentiero Attrezzato di Sas Aut dedicato a Franco Gadotti - Trento, 9.1.1955 Campanile Pradidali, 20.7.1976;
1862189121;Targa commemorativa Paolo Giordani;45.8185221;11.1369601;POINT (11.1369601 45.8185221);;;
1869952963;Unnamed;46.0862048;11.1597423;POINT (11.1597423 46.0862048);;;
1870055067;Castel Corona;46.2752225;11.0188891;POINT (11.0188891 46.2752225);;;
1951231997;Fritz Jung - 1711;45.9441216;11.2697902;POINT (11.2697902 45.9441216);;;
1977210639;Unnamed;46.0693887;11.2061361;POINT (11.2061361 46.0693887);;;
1987683774;Unnamed;46.274279;11.0509012;POINT (11.0509012 46.274279);;;
2028320546;Monumento ai Caduti;45.9203677;10.6147059;POINT (10.6147059 45.9203677);;;
2073143301;Cristo Pensante;46.307279;11.794503;POINT (11.794503 46.307279);;;
2084546738;Madonina;46.4013055;11.0507432;POINT (11.0507432 46.4013055);;;
2262103281;Statua di San Francesco;46.3679783;11.1062059;POINT (11.1062059 46.3679783);statue;;memorialstatue
2287289624;Eusebio Chini;46.304195;11.0713527;POINT (11.0713527 46.304195);;;
2367894141;Monumento ai caduti;45.9465134;10.6204569;POINT (10.6204569 45.9465134);;;
2371280671;Unnamed;46.0882116;11.130423;POINT (11.130423 46.0882116);;;
2468231574;Ai Caduti;46.1574892;11.1524504;POINT (11.1524504 46.1574892);;;
2482496403;Busto di Riccardo Zandonai;45.8910635;11.0432044;POINT (11.0432044 45.8910635);bust;;monumentbust
2484775401;Monumento ai caduti;45.8866828;11.0455536;POINT (11.0455536 45.8866828);war_memorial;;memorialwar_memorial
2484801874;Fontana Vecchia;46.0729515;11.4937739;POINT (11.4937739 46.0729515);;;
2490633533;Unnamed;45.9131128;10.9029133;POINT (10.9029133 45.9131128);;;
2535781340;Unnamed;46.2371277;11.9029923;POINT (11.9029923 46.2371277);;;
2858144515;Ex cimitero militare a.u.;45.858983;11.0838414;POINT (11.0838414 45.858983);;;
2872557495;Artigliere Giuseppe Spagnoli;45.8150426;11.0568435;POINT (11.0568435 45.8150426);;;
2872599781;127a Batteria bombarde;45.8211611;11.0533244;POINT (11.0533244 45.8211611);;;
2888955295;Unnamed;45.7741624;11.1564969;POINT (11.1564969 45.7741624);;;
3113340843;Unnamed;45.8618382;10.828104;POINT (10.828104 45.8618382);plaque;;memorialplaque
3127246070;Monumento ai Caduti di Tutte le Guerre;46.3354538;10.885545;POINT (10.885545 46.3354538);;;
3138365005;Unnamed;46.2841128;10.8709367;POINT (10.8709367 46.2841128);;;
3138384015;Amici della Montagna 1995;46.291841;10.8730039;POINT (10.8730039 46.291841);;;
3138518001;Lapidi in memoria di giovani partigiani (I Piccoli Maestri);46.0120053;11.5486935;POINT (11.5486935 46.0120053);plaque;url=https://www.caiasiago.it/sentiero-piccoli-maestri;memorialplaque
3139836799;Memoriale degli Arditi 23 Maggio 1918;45.8224374;11.0492402;POINT (11.0492402 45.8224374);;"AI COMBATTENTI
DEL I° REPARTO D'ASSALTO
CHE QUI CADDERO
IL 23-5-1918";
3309582310;Castello di Castellano;45.9213722;11.0061893;POINT (11.0061893 45.9213722);;;
3309824059;Unnamed;46.4874053;11.8121855;POINT (11.8121855 46.4874053);;;
3407628035;Monumento ai caduti;45.8635667;10.9478561;POINT (10.9478561 45.8635667);stele;Tiroler Standschutzen;memorialstele
3414873825;Osservatorio;45.8626941;10.9491236;POINT (10.9491236 45.8626941);;;
3491901400;Unnamed;45.8303086;10.5690204;POINT (10.5690204 45.8303086);stone;;memorialstone
3646765865;Unnamed;45.797854;11.1753731;POINT (11.1753731 45.797854);;;
3679475811;Unnamed;45.9335084;10.5912507;POINT (10.5912507 45.9335084);stone;CADUTI GARIBALDINI;memorialstone
3686101725;Memoriale Don Italo Girardi;46.1512012;11.6356115;POINT (11.6356115 46.1512012);;;
3694365836;Unnamed;45.9266801;11.3361557;POINT (11.3361557 45.9266801);war_memorial;;memorialwar_memorial
3704653919;Monumento ai Caduti;45.7392618;11.0664551;POINT (11.0664551 45.7392618);;;
3760589942;Unnamed;45.8863444;11.1606401;POINT (11.1606401 45.8863444);cross;;memorialcross
3780638158;Unnamed;45.7582118;11.1774148;POINT (11.1774148 45.7582118);stele;;memorialstele
3790737265;Forno Maso Emer;46.0488286;11.2760712;POINT (11.2760712 46.0488286);;;
3813729336;Lapide commemorativa;45.897028;10.7207048;POINT (10.7207048 45.897028);;;
3813885819;Unnamed;45.8966409;10.7202958;POINT (10.7202958 45.8966409);;;
3823187966;Fontana storica;46.0501359;11.2661003;POINT (11.2661003 46.0501359);;;
3904227788;Unnamed;45.8542796;10.5909663;POINT (10.5909663 45.8542796);;;
3918195752;monumento ai caduti;45.8839276;11.0702066;POINT (11.0702066 45.8839276);;;
3920799713;Unnamed;46.0787877;11.5748724;POINT (11.5748724 46.0787877);plaque;Contrada Pradellano;memorialplaque
3938156843;Unnamed;46.0649495;11.508052;POINT (11.508052 46.0649495);;;
4005264317;Unnamed;46.1084589;11.1245416;POINT (11.1245416 46.1084589);;;
4016816832;Unnamed;46.1930559;11.3335295;POINT (11.3335295 46.1930559);plaque;;memorialplaque
4030361301;Unnamed;46.0009382;10.6942676;POINT (10.6942676 46.0009382);;;
4030361320;Unnamed;46.0012367;10.6945656;POINT (10.6945656 46.0012367);;;
4030361322;Unnamed;46.0013211;10.6944492;POINT (10.6944492 46.0013211);;;
4030361328;Unnamed;46.0015521;10.6945221;POINT (10.6945221 46.0015521);;;
4041680975;Osservatorio Grota de Rinalt;45.8763077;10.6898397;POINT (10.6898397 45.8763077);;;
4054936848;Clementino Vannetti;45.890771;11.0439965;POINT (11.0439965 45.890771);bust;;monumentbust
4055023345;Unnamed;46.0347084;11.2207088;POINT (11.2207088 46.0347084);;;
4171979707;Unnamed;45.9273943;10.8908724;POINT (10.8908724 45.9273943);;;
4239816964;Monumento ai caduti;45.9288209;11.0721352;POINT (11.0721352 45.9288209);;;
4252859772;Unnamed;46.4681719;11.8697733;POINT (11.8697733 46.4681719);war_memorial;;memorialwar_memorial
4279079337;Unnamed;46.0702383;11.4937816;POINT (11.4937816 46.0702383);;;
4279079338;Unnamed;46.0703639;11.4939412;POINT (11.4939412 46.0703639);;;
4279079339;Unnamed;46.0704871;11.4939416;POINT (11.4939416 46.0704871);;;
4316268411;Giacomo Vittone;45.9298617;10.8259123;POINT (10.8259123 45.9298617);;;
4323671491;Unnamed;46.4720437;11.8721262;POINT (11.8721262 46.4720437);;;
4327010791;Castello della Rocca;46.0948327;11.2165482;POINT (11.2165482 46.0948327);;;
4339558197;Rest of Great War;46.3580059;11.7002477;POINT (11.7002477 46.3580059);;;
4349716077;Cippo di confine 1746;45.862019;10.8270187;POINT (10.8270187 45.862019);stone;Erectus anno 1746;memorialstone
4349718122;Memoriale Giacomo Cis;45.8762614;10.8382763;POINT (10.8382763 45.8762614);plaque;;memorialplaque
4361758843;Sass Spacà;46.1740483;11.5893364;POINT (11.5893364 46.1740483);;;
4369982157;Unnamed;45.8734092;10.7640777;POINT (10.7640777 45.8734092);stele;;memorialstele
4369982159;Unnamed;45.8712756;10.7593919;POINT (10.7593919 45.8712756);plaque;;memorialplaque
4369982160;Unnamed;45.8727102;10.7559409;POINT (10.7559409 45.8727102);plaque;;memorialplaque
4369982161;Unnamed;45.8727475;10.75698;POINT (10.75698 45.8727475);plaque;;memorialplaque
4370182331;Statua del Arrotino;46.154681;10.7661357;POINT (10.7661357 46.154681);;;
4375382430;Unnamed;45.8805042;10.7554119;POINT (10.7554119 45.8805042);stele;;memorialstele
4375382431;Unnamed;45.8854689;10.7430934;POINT (10.7430934 45.8854689);stele;;memorialstele
4375382434;Unnamed;45.8800617;10.7538121;POINT (10.7538121 45.8800617);stele;;memorialstele
4391080268;Unnamed;45.8912631;10.7896524;POINT (10.7896524 45.8912631);cross;;memorialcross
4396727344;Unnamed;45.8775069;10.7427751;POINT (10.7427751 45.8775069);stele;;memorialstele
4401768852;Unnamed;45.8995726;10.7246477;POINT (10.7246477 45.8995726);plaque;;memorialplaque
4401768853;Unnamed;45.900121;10.7252421;POINT (10.7252421 45.900121);plaque;;memorialplaque
4409784142;Lapide agli Alpini Caduti e Dispersi;45.8867182;10.8434444;POINT (10.8434444 45.8867182);plaque;;memorialplaque
4409784143;Unnamed;45.8867712;10.8434894;POINT (10.8434894 45.8867712);plaque;;memorialplaque
4409784144;Monumento agli Alpini caduti;45.886688;10.8436216;POINT (10.8436216 45.886688);stele;;memorialstele
4409784145;Lapide a ricordo del vecchio cimitero;45.8866693;10.8434443;POINT (10.8434443 45.8866693);plaque;;memorialplaque
4409784150;Unnamed;45.8867518;10.843445;POINT (10.843445 45.8867518);plaque;;memorialplaque
4414912269;Unnamed;45.8888534;10.7326866;POINT (10.7326866 45.8888534);plaque;;memorialplaque
4419124694;Madonna del Carega;45.7153644;11.125133;POINT (11.125133 45.7153644);;;
4426106994;Unnamed;45.8859551;10.7386935;POINT (10.7386935 45.8859551);plaque;;memorialplaque
4426106995;Unnamed;45.8828425;10.7492428;POINT (10.7492428 45.8828425);plaque;;memorialplaque
4426881828;Rachele Peterlini;45.886667;11.154397;POINT (11.154397 45.886667);;;
4429693864;Ettore Rover;46.0475502;11.4099402;POINT (11.4099402 46.0475502);plaque;Ettore Rover 1942 - 1972;memorialplaque
4429693865;Marco Pola;46.0493746;11.4082742;POINT (11.4082742 46.0493746);plaque;In questa casa nacque il poeta Marco Pola 29.08.1906 - 09.10.1991;memorialplaque
4432893261;Unnamed;45.9699572;10.7516121;POINT (10.7516121 45.9699572);;;
4466564545;Unnamed;46.1228987;11.4815;POINT (11.4815 46.1228987);plaque;;memorialplaque
4470115795;Unnamed;45.8910146;10.6989791;POINT (10.6989791 45.8910146);plaque;;memorialplaque
4470120545;Unnamed;45.8858771;10.7844239;POINT (10.7844239 45.8858771);plaque;;memorialplaque
4470120546;Unnamed;45.8858879;10.7844114;POINT (10.7844114 45.8858879);plaque;;memorialplaque
4517842661;Unnamed;45.7248028;10.9716913;POINT (10.9716913 45.7248028);;;
4534672934;Unnamed;45.7567476;11.0050057;POINT (11.0050057 45.7567476);;;
4558146280;Unnamed;45.7578358;11.0054258;POINT (11.0054258 45.7578358);;;
4561903463;Unnamed;46.1515842;11.0966066;POINT (11.0966066 46.1515842);;;
4572899501;Unnamed;46.0686953;11.4625157;POINT (11.4625157 46.0686953);plaque;;memorialplaque
4592617059;Cristo D'Oro;46.0840269;11.5154992;POINT (11.5154992 46.0840269);war_memorial;Ai Caduti di Turtte le Guerre - Il Gruppo ANA di Samone - 1961;memorialwar_memorial
4596373803;Unnamed;46.0520429;11.4944265;POINT (11.4944265 46.0520429);plaque;;memorialplaque
4684036779;Unnamed;46.0680604;11.4962593;POINT (11.4962593 46.0680604);;;
4692003969;Unnamed;45.857859;10.909995;POINT (10.909995 45.857859);stone;Ai combattenti;memorialstone
4692003970;Czechoslovak legionaries;45.854625;10.9106616;POINT (10.9106616 45.854625);plaque;;memorialplaque
4704863487;Unnamed;45.8745254;11.1064313;POINT (11.1064313 45.8745254);;;
4704863569;Unnamed;45.8760038;11.0881534;POINT (11.0881534 45.8760038);;;
4757121706;la Madoninna;45.9383193;11.096859;POINT (11.096859 45.9383193);statue;;memorialstatue
4765154173;Madonna;45.930732;11.0729663;POINT (11.0729663 45.930732);;;
4765154776;Immacolata della Guardia;45.907974;11.1312261;POINT (11.1312261 45.907974);statue;;memorialstatue
4890327745;Monumento della Pace;45.9176236;11.0313512;POINT (11.0313512 45.9176236);;;
4909085873;Santa Maria Goretti;45.9138797;11.1090938;POINT (11.1090938 45.9138797);;;
4913132148;Unnamed;46.1747411;11.8331643;POINT (11.8331643 46.1747411);plaque;;memorialplaque
4970035869;Unnamed;45.7667332;10.9341156;POINT (10.9341156 45.7667332);stone;R. ESERCITO ITALIANO;memorialstone
5000770882;Unnamed;46.0704206;10.5423516;POINT (10.5423516 46.0704206);plaque;;memorialplaque
5000770914;Unnamed;46.0717016;10.5412025;POINT (10.5412025 46.0717016);cross;;memorialcross
5036016186;Unnamed;45.9831577;10.8801419;POINT (10.8801419 45.9831577);;;
5036111244;I sentieri dell'amicizia;46.404962;11.825388;POINT (11.825388 46.404962);war_memorial;;memorialwar_memorial
5037259449;6° Alpini Battaglione Sette Comuni;46.0073283;11.5644902;POINT (11.5644902 46.0073283);;;
5068234115;Obelisco di Val Miniera;46.3377863;11.7584727;POINT (11.7584727 46.3377863);;;
5078806521;Monumento Legionari Cecoslovacchi;45.9258335;10.8892472;POINT (10.8892472 45.9258335);;;
5085148165;Unnamed;45.8693472;10.9105364;POINT (10.9105364 45.8693472);;;
5114871245;Unnamed;45.8845225;10.8411079;POINT (10.8411079 45.8845225);statue;;memorialstatue
5145424181;Castello di Pergine;46.0592803;11.2492931;POINT (11.2492931 46.0592803);;;
5248261677;Altare a Cesare Battisti;45.814725;11.1245826;POINT (11.1245826 45.814725);;;
5266511326;"Monumento ai ""Piloti di Montagna""";45.8811294;11.036181;POINT (11.036181 45.8811294);;Monumento ai piloti di montagna che hanno combattuto durante la seconda guerra mondiale;
5271597193;Monumento ai caduti della I° guerra mondiale;45.8554307;11.0600442;POINT (11.0600442 45.8554307);;;
5303540656;Targa d'ingresso di casa Ganarin;46.1169095;10.7572449;POINT (10.7572449 46.1169095);plaque;;memorialplaque
5310729531;Vecchio segnale di ingresso Sud del paese;46.1167909;10.7573585;POINT (10.7573585 46.1167909);plaque;;memorialplaque
5310729532;Vecchio segnale di ingresso Nord del paese;46.1186204;10.7589119;POINT (10.7589119 46.1186204);plaque;;memorialplaque
5375949317;Cannone Alpino;45.7583139;11.0085745;POINT (11.0085745 45.7583139);;;
5389468391;Pietra Miliare;45.7589351;10.9967911;POINT (10.9967911 45.7589351);;;
5389482524;Statua di Papa Giovanni XXIII;45.7565445;11.0007999;POINT (11.0007999 45.7565445);;;
5391147330;Capitello Antico;45.77051;11.0027339;POINT (11.0027339 45.77051);;;
5393716171;Unnamed;46.0631539;11.2415809;POINT (11.2415809 46.0631539);;;
5401488516;Unnamed;46.0844761;10.9191661;POINT (10.9191661 46.0844761);;;
5414546798;Ai Caduti;46.0400193;10.8755332;POINT (10.8755332 46.0400193);war_memorial;;memorialwar_memorial
5580427135;Unnamed;45.9893832;11.6657386;POINT (11.6657386 45.9893832);war_memorial;;memorialwar_memorial
5580611516;Unnamed;45.9906877;11.6688366;POINT (11.6688366 45.9906877);war_memorial;TEZZE AI SUOI CADUTI;memorialwar_memorial
5602471270;Monumento Gianni Caproni;45.9154683;10.8847481;POINT (10.8847481 45.9154683);;Gianni Caproni Pioniere dell'Aeronautica;
5633422584;Unnamed;46.1980753;11.2932693;POINT (11.2932693 46.1980753);;;
5647427114;Unnamed;45.8647695;10.8046394;POINT (10.8046394 45.8647695);stele;;memorialstele
5647579029;Unnamed;46.0673236;11.2455496;POINT (11.2455496 46.0673236);;;
5649181087;Unnamed;46.0667083;11.1604544;POINT (11.1604544 46.0667083);;;
5712367909;Monumento ai caduti;46.037736;11.1068344;POINT (11.1068344 46.037736);war_memorial;;memorialwar_memorial
5747778029;Castel Belvedere;46.1120109;11.238182;POINT (11.238182 46.1120109);;;
5749265914;Unnamed;46.3479941;10.7884602;POINT (10.7884602 46.3479941);war_memorial;;memorialwar_memorial
5761760124;Castel Cagnò;46.3888943;11.0369226;POINT (11.0369226 46.3888943);;;
5773580591;Unnamed;46.0741976;11.4905983;POINT (11.4905983 46.0741976);stele;;memorialstele
5812752537;Regole per i Jumper;45.9933548;10.9007299;POINT (10.9007299 45.9933548);;;
5853271710;Unnamed;46.0673382;11.2456154;POINT (11.2456154 46.0673382);;;
5865319476;Unnamed;46.0877376;11.295532;POINT (11.295532 46.0877376);;;
5898760565;Caduti Guerre Mondiale;45.889092;10.8615395;POINT (10.8615395 45.889092);;;
5968629885;Unnamed;46.1645545;10.7649519;POINT (10.7649519 46.1645545);war_memorial;;memorialwar_memorial
5968629886;Ai Caduti;46.1644632;10.7647356;POINT (10.7647356 46.1644632);war_memorial;;memorialwar_memorial
