id;latitude;longitude;geometry;name;street;city;postcode;housenumber;website;phone;email;type
5438556262;46.2895271;11.5140867;POINT (11.5140867 46.2895271);Residence Montebel;Via del Marco;Tesero;38038;34;https://www.montebel.it/;;info@montebel.it;apartment
5484258023;46.4368959;11.6930524;POINT (11.6930524 46.4368959);Residence Holiday;Strada Jumela;;38036;36;https://www.residenceholiday.net/;+390462763783;info@residenceholiday.net;apartment
6020524846;45.9208689;10.8890836;POINT (10.8890836 45.9208689);Living the Dream;Vicolo delle Ere;Arco;38062;5;;;;apartment
6025457784;45.9209684;10.8890118;POINT (10.8890118 45.9209684);Casa al Castello;;;;;;;;apartment
6027936082;45.9207488;10.8891618;POINT (10.8891618 45.9207488);Living the Dream;Via Giovanni Segantini;Arco;38062;14;;;;apartment
6412419471;45.919103;10.8879558;POINT (10.8879558 45.919103);Aquila;Via Sant'Anna;Arco;;12;;;;apartment
6504119641;46.1803891;11.0705492;POINT (11.0705492 46.1803891);Castello Fai;Piazza Trentina;Fai della Paganella;38010;1;https://www.castellofai.com;;info@castellofai.com;apartment
6747186796;45.9139273;10.8830675;POINT (10.8830675 45.9139273);Villa Carmen;Via Mantova;;;26;http://www.villacarmenarco.com/;;;apartment
7200015328;45.8891195;10.8597613;POINT (10.8597613 45.8891195);Residence Rivachiara;Via Sant'Alessandro;Riva del Garda TN;38066;3;;;;apartment
7643221196;46.0104477;11.3012085;POINT (11.3012085 46.0104477);Coccole nel fienile;Via 11 Febbraio;Levico Terme;38056;5;https://coccolenelfienile.it/;;coccolenelfienile@gmail.com;apartment
8305105584;45.9727298;10.950575;POINT (10.950575 45.9727298);Maso Salim Relax Apartments;;Drena;38074;;http://www.masosalim.it;;info@masosalim.it;apartment
8567859620;46.4164508;11.2066309;POINT (11.2066309 46.4164508);Apartment Max;Via Gruppo Brenta;Ruffrè-Mendola;38010;4;;;;apartment
8808826888;45.9039948;10.8430653;POINT (10.8430653 45.9039948);Casa Varone;;;;;;;;apartment
8850053434;45.8914518;10.7271291;POINT (10.7271291 45.8914518);Appartamenti Ledrobenessere;Via Nuova;Pieve di Ledro;38067;56;https://www.appartamentiledrobenessere.it;+39 3491061874;;apartment
8859234992;45.8860134;10.8396269;POINT (10.8396269 45.8860134);Appartamenti Fabbri 1;;;;;https://appartamenti-fabbri-1-riva-del-garda.hotelmix.it/;;;apartment
9051921907;45.8893118;10.7324582;POINT (10.7324582 45.8893118);Casa Anna;Via Giulio Grossi;Ledro;38067;8;https://www.booking.com/hotel/it/casa-anna-ledro;;;apartment
9134915222;45.9610181;10.9097747;POINT (10.9097747 45.9610181);Appartamenti Antica Dro;Via Roma;Dro;38074;8;;;;apartment
9144490187;46.4764633;11.7444405;POINT (11.7444405 46.4764633);Ladina;;;;;https://www.ladina.net/;;;apartment
9144797396;46.4751512;11.7401007;POINT (11.7401007 46.4751512);Bel Cesa Seren;;;;;;;;apartment
9145523043;46.4748891;11.7400246;POINT (11.7400246 46.4748891);Ziria;;;;;;;;apartment
9466289971;45.9536561;10.9093499;POINT (10.9093499 45.9536561);Appartamenti Al Vigneto;Località Santa Lucia;Dro;38074;1;;;;apartment
9522424572;46.4166058;11.6699828;POINT (11.6699828 46.4166058);Tieja de Gotart;Strada de Somcosta;Vigo di Fassa;38039;19;;;;apartment
9674084640;45.8803903;10.8550253;POINT (10.8550253 45.8803903);Spiaggia Residence;Via H. e T. Mann;Riva del Garda;38066;4;;;;apartment
9798941342;46.02192;10.9833147;POINT (10.9833147 46.02192);La finestra sul Brenta;Via doss;Lasino;38076;16;;;;apartment
9809543507;46.4572429;11.7995304;POINT (11.7995304 46.4572429);Cesa Elena;Strada De Antersies;;;17;;;;apartment
9819697616;45.9133007;10.8439059;POINT (10.8439059 45.9133007);Garda View Guest House;Via Gavazzo Vecchio;Tenno;38060;20;https://www.gardaview.it;;info.gardaview@gmail.com;apartment
9832793459;46.3157378;10.7967597;POINT (10.7967597 46.3157378);Residence Piz Aot;;;;;;;;apartment
9836677204;45.9122315;10.8773369;POINT (10.8773369 45.9122315);Arco Top Floor;Via Narzelle;Arco;38062;27;;;;apartment
9843190800;45.876395;10.875198;POINT (10.875198 45.876395);Torbole Holiday House;Via Tòm del Sarca;Nago-Torbole;38069;3;https://www.torboleholidayhouse.com/;+39 0464 505966;info@torboleholidayhouse.com;apartment
9843593398;45.8787126;11.032215;POINT (11.032215 45.8787126);Cà della Roggia;;;;;;;;apartment
9844054612;45.8969612;10.8724706;POINT (10.8724706 45.8969612);Casa mamma Pina;Via Isce;Arco;;6;;;;apartment
9844196519;45.894825;10.869925;POINT (10.869925 45.894825);Casa Andela;Via Monte Brione;;;11;;;;apartment
9845797299;45.9579488;10.907344;POINT (10.907344 45.9579488);Cà de L'Olif- Holiday Clima Apartments;;;;;;;;apartment
9845845613;45.9584405;10.9074469;POINT (10.9074469 45.9584405);Bed & Jump Acero Rosso;Via Riccardo Zandonai;Dro;38074;15;;;;apartment
9847519540;45.8782489;10.8735791;POINT (10.8735791 45.8782489);Carly's rooms;Via Linfano;Arco;38062;54;https://www.carlysrooms.com;+39 392 6211003;carlysrooms@gmail.com;apartment
9847571798;45.9190015;11.1865165;POINT (11.1865165 45.9190015);Hotel Garden;;;;;;;;apartment
9847571799;45.9179147;11.1858818;POINT (11.1858818 45.9179147);Alpen Hotel Eghel;Via Andrea Maffei;Folgaria;38064;49;;;;apartment
9847977316;45.8934265;10.8667247;POINT (10.8667247 45.8934265);Casa Alla Grotta;Via Monte Brione;Arco;38062;16;;;;apartment
9852340575;45.9132577;10.8807031;POINT (10.8807031 45.9132577);1Dest Easy & modern;Via San Sisto;Arco;38062;22;https://1dest.com/;;;apartment
9858414320;45.8999726;10.8657385;POINT (10.8657385 45.8999726);Le Servite Apartments;Via Passirone;Arco;38062;68;;;;apartment
9861124453;45.889378;10.863014;POINT (10.863014 45.889378);Garda Lake & Sun apartments;Via Tenente Miorelli;Riva del Garda;38066;9;;+39 349 7124173;;apartment
9861124454;45.8889847;10.8639581;POINT (10.8639581 45.8889847);Appartamento Terrazza Sugli Ulivi;Via Tenente Miorelli;Riva del Garda;38066;2d;;+39 3285682238;;apartment
9863836499;45.9420783;10.9039557;POINT (10.9039557 45.9420783);Appartamento Maso Giare;Località Maso Giare;Arco;38074;;https://www.masogiare.com;+39 335 5945728;info@masogiare.com;apartment
9867509831;45.8825917;10.8571322;POINT (10.8571322 45.8825917);Casa Dalia;Via Belluno;Riva del Garda;38066;5;;;;apartment
9867509832;45.8824479;10.8568928;POINT (10.8568928 45.8824479);Locanda Restel de Fer;Via Restel de Fer;Riva del Garda;38066;12;https://www.resteldefer.com;+39 0464553481;info@resteldefer.com;apartment
9867509833;45.8824321;10.8569907;POINT (10.8569907 45.8824321);Casa Erica;Via Restel de Fer;Riva del Garda;38066;14;;;;apartment
9868091962;45.8857521;10.8596498;POINT (10.8596498 45.8857521);Casa Maria;Via Filanda;Riva del Garda;38066;39o;https://www.casamariaapartments.it;+39 333 6409895;info@casamariaapartments.it;apartment
9868190970;45.8906752;10.8622032;POINT (10.8622032 45.8906752);Maffei Apartments;Via Sant'Alessandro;Riva del Garda;38066;25;https://www.maffeiapartments.it;+39 3387450000;info@maffeiapartments.it;apartment
9869823067;45.8886955;10.8608627;POINT (10.8608627 45.8886955);Toniol Apartment;Via Sant'Alessandro;Riva del Garda;38066;7;;;;apartment
9871965662;45.8801798;10.8607485;POINT (10.8607485 45.8801798);Villa Speranza;Via Brione;Riva del Garda;38066;30;https://www.villasperanza-rivadelgarda.it/;+39 0464.552038;info@villasperanza-rivadelgarda.it;apartment
9873982871;46.3124539;11.6638426;POINT (11.6638426 46.3124539);Hotel Bellamonte;;;;;;;;apartment
9873985056;46.3128081;11.6664031;POINT (11.6664031 46.3128081);Park Hotel Sancelso;Via Prai de Mont;Bellamonte;;27;;;;apartment
9874067153;45.8875371;10.730896;POINT (10.730896 45.8875371);Casa Enrico;Via Alzer;Ledro;38067;30;;;;apartment
9874109534;45.8867946;10.7300003;POINT (10.7300003 45.8867946);Casa Luisella;Via Alzer;Ledro;38067;14;;;;apartment
9874114929;46.2332363;10.8245067;POINT (10.8245067 46.2332363);Hotel Europa;;;;;;;;apartment
9874137373;45.8870253;10.7299133;POINT (10.7299133 45.8870253);Casa Elisabetta;Via Alzer;Ledro;38067;12;https://www.vallediledro.com/it/appartamento/casa-elisabetta-pieve-di-ledro;+39 3462852111;elisabettarigoldi@yahoo.com;apartment
9874137374;45.8875444;10.7304927;POINT (10.7304927 45.8875444);Da Maria Rosa;Via Alzer;Ledro;38067;8;;;;apartment
9874137375;45.8871094;10.730557;POINT (10.730557 45.8871094);Casa Tumis;Via Alzer;Ledro;38067;34;;;;apartment
9874137376;45.886848;10.7296209;POINT (10.7296209 45.886848);Casa Stefania;Via Alzer;Ledro;38067;10;;;;apartment
9874178934;45.8853432;10.7309068;POINT (10.7309068 45.8853432);Casa Lori 1;Via Alzer;Pieve di Ledro;38067;54;;;;apartment
9874178935;45.886133;10.7299734;POINT (10.7299734 45.886133);Casa Alberta;Via Alzer;Pieve di Ledro;38067;46;;;;apartment
9874218291;45.8994957;10.7235949;POINT (10.7235949 45.8994957);LLH Casa Elena;Via alla Colonia;Ledro;38067;6;https://www.ledrolakeholiday.com;;;apartment
9876039990;45.8841448;10.730478;POINT (10.730478 45.8841448);Residence Scandoler;Via Alzer;Ledro;38067;;;;;apartment
9876053361;45.8842154;10.7293093;POINT (10.7293093 45.8842154);Gemma;Via Scandoler;Ledro;38067;4;;;;apartment
9876061734;45.8858922;10.7305068;POINT (10.7305068 45.8858922);Casa Lucia;Via Alzer;Ledro;38067;44;https://www.affittivacanzecrosina.com;;;apartment
9876391329;45.8999102;10.7261516;POINT (10.7261516 45.8999102);Casa Giulia;Via Daves;Ledro;38067;3;;;;apartment
9884877114;45.9033121;10.8611479;POINT (10.8611479 45.9033121);Residence Gemma;Località San Tomaso;Riva del Garda;38066;55;https://www.residencegemma.it/;+39 348 1218472;info@residencegemma.it;apartment
9884980701;45.9050857;10.8607989;POINT (10.8607989 45.9050857);Villa Luxury House & Spa;Località San Tomaso;Riva del Garda;38066;;https://www.villaluxuryhousespa.it/;+39 345 9748120;info@villaluxuryhousespa.it;apartment
9884980703;45.9046588;10.8621448;POINT (10.8621448 45.9046588);Appartamenti Silvana;Località San Tomaso;Riva del Garda;38066;63;http://www.silvanasulgarda.it;+39 0464 520677;info@silvanasulgarda.it;apartment
9887268515;45.9003036;10.8578051;POINT (10.8578051 45.9003036);LakeGarden Apartment;Via Ippolito Pederzolli;Riva del Garda;38066;29;https://gestex.kross.travel/details/room/id/31;;;apartment
9891305873;45.9096063;10.8109039;POINT (10.8109039 45.9096063);House Casa Campi 2.0;Località Lavaroni;Riva del Garda;38066;1;;+39 377 960 3210;;apartment
9891339831;45.9059053;10.8134924;POINT (10.8134924 45.9059053);Antica casa Ortensia;Località Zucchetti;Riva del Garda;38066;7;;+39 0464 501197;;apartment
9891371237;45.9136136;10.8165576;POINT (10.8165576 45.9136136);La Poiana;Località Zumiani;Riva del Garda;38066;;;+39 349 8176313;;apartment
9903486798;45.9079662;10.8497379;POINT (10.8497379 45.9079662);Residenza alle Grazie;Via Basone;Riva del Garda;38066;3;https://www.residenzaallegrazie.it/;+39 335 7083083;;apartment
9908995934;45.9111026;10.8523436;POINT (10.8523436 45.9111026);Il giardino segreto;Piazza Interna Ceole;Arco;38062;;;+39 340 125 1038;;apartment
9915364089;46.139525;10.9590188;POINT (10.9590188 46.139525);Residence al Caminetto;Via Lungolago;Molveno;38018;46;;;;apartment
9916479814;45.8993698;10.8664815;POINT (10.8664815 45.8993698);Appartamenti Pause Lake Garda;Via Passirone;Arco;38062;9;https://www.pauselakegarda.it/;+39 3467147200;info@pauselakegarda.it;apartment
9916506353;45.8985848;10.8654271;POINT (10.8654271 45.8985848);Appartamenti Casa Travaglia;Via S. Tomè;Arco;38062;10;;+39 339 3020236;;apartment
9933012002;45.8979815;10.8545418;POINT (10.8545418 45.8979815);Villa Orange;Località San Nazzaro;Riva del Garda;38066;20;https://villa-orange-riva-del-garda.hotelmix.it/;;;apartment
9938927267;46.0790968;11.1306674;POINT (11.1306674 46.0790968);Trento View;Via del Dos;Trento;;3;https://www.trentoview.com/;;;apartment
9941690074;45.8800227;10.7522317;POINT (10.7522317 45.8800227);"Casa di Ledro ""Daldoss""";Via Lungolago;Ledro;38067;10;http://www.casadiledro.com;+39 0464508161;;apartment
9944342665;45.8824837;10.7522184;POINT (10.7522184 45.8824837);Casa vacanze Luca e Cristina;Via Ptice;Ledro;38067;20;;+39 346 6376999;;apartment
9944700139;45.8816256;10.7512893;POINT (10.7512893 45.8816256);Casa Margherita;Via Aldo Toccoli;Ledro;38067;9;;;;apartment
9945133963;45.8819699;10.7507854;POINT (10.7507854 45.8819699);Casa Martì;Via Ptice;Ledro;38067;1;;;;apartment
9945271446;45.8819067;10.7504427;POINT (10.7504427 45.8819067);Casa Monica;Via Ptice;Ledro;38067;10;;;;apartment
9946561075;45.8808489;10.7553102;POINT (10.7553102 45.8808489);Villa La Dianella;Via Belvedere;Ledro;38067;4;https://www.ladianella.com/;;info@ladianella.com;apartment
9946675565;45.8811148;10.7510246;POINT (10.7510246 45.8811148);Casa Lena;Via San Michele;Ledro;38067;1;;;;apartment
9946776567;45.8929184;10.7259896;POINT (10.7259896 45.8929184);Casa Filanda;Via Nuova;Ledro;38067;78;;;;apartment
9947177496;45.8823182;10.7529217;POINT (10.7529217 45.8823182);Ledro Lake Suites;Via San Michele;Ledro;38067;34;https://www.ledrolakesuites.com/;+39 347 0130936;;apartment
9947775711;45.8850976;10.7546878;POINT (10.7546878 45.8850976);Affittacamere B&B Ledro;Via Dromaé;Ledro;38067;5;https://www.bbledro.com/;+39 0464 517212;;apartment
9947775714;45.8846181;10.7548076;POINT (10.7548076 45.8846181);Residence Dromaè;Via Dromaé;Ledro;38067;40;;;;apartment
9952301020;45.8741742;10.7664871;POINT (10.7664871 45.8741742);Residence Palafitte;Via Maffei;Ledro;38067;50a;https://www.residencepalafitte.com/;+39 0464 508141;info@residencepalafitte.com;apartment
9959464126;46.4358535;11.6912149;POINT (11.6912149 46.4358535);Molin de Pezol;;;;;;;;apartment
9967188554;45.8712414;10.7729361;POINT (10.7729361 45.8712414);Bed & Bike Ledro;Via Maffei;Ledro;38067;35;;;;apartment
9967188555;45.8713431;10.7741994;POINT (10.7741994 45.8713431);Casa Canali 2;;Ledro;38067;;;;;apartment
9967188556;45.8712936;10.7749089;POINT (10.7749089 45.8712936);Casa Viola;Via Don Lucillo Sartori;Ledro;38067;6;;;;apartment
9967188557;45.8717792;10.7759214;POINT (10.7759214 45.8717792);Appartamento Aurelia;Via Maffei;Ledro;38067;3;;;;apartment
9967188558;45.8717297;10.7758959;POINT (10.7758959 45.8717297);Appartamento Lago di Ledro;Via Maffei;Ledro;38067;3c;;;;apartment
9967188559;45.8730024;10.7678788;POINT (10.7678788 45.8730024);Appartamento Speranza;Via Maffei;Ledro;38067;109;;;;apartment
9967188560;45.8734413;10.7649941;POINT (10.7649941 45.8734413);Chalet Sally;Via al Lago;Ledro;38067;7;;;;apartment
9967191240;45.8705813;10.7753169;POINT (10.7753169 45.8705813);Casa Degara;Via Don Lucillo Sartori;Ledro;38067;23;https://casadegara.oneminutesite.it/;+39 349 1373309;;apartment
9967191241;45.871375;10.7757662;POINT (10.7757662 45.871375);Appartamento Jasmine;Via Don Girolamo Viviani;Ledro;38067;7;https://appartamento-jasmine-molina-di-ledro.hotelmix.it/;+49 89 21540286;;apartment
9967217223;45.8719878;10.778446;POINT (10.778446 45.8719878);Residenza Gemma;Via Maffei;Ledro;38067;2;https://residenzagemma.wixsite.com/gemma;;laresidenzagemma@gmail.com;apartment
9967551916;45.8710894;10.7820351;POINT (10.7820351 45.8710894);Sunshine House Yoga;Via San Carlo;Ledro;38067;9;;;;apartment
9967930371;45.882299;10.7513923;POINT (10.7513923 45.882299);Villa Marilyn;Via Ptice;Ledro;38067;15;;;;apartment
9967930372;45.8849092;10.756404;POINT (10.756404 45.8849092);Ledro Nest;Via Dromaé;Ledro;38067;50;;;;apartment
9967930373;45.8861695;10.7565797;POINT (10.7565797 45.8861695);Appartamento Bellavista;Via Dromaé;Ledro;38067;23;;;;apartment
9967930376;45.8842503;10.7543403;POINT (10.7543403 45.8842503);Seia Mountain Wellness;Via Dromaé;Ledro;38067;36;;;;apartment
9967937609;45.8841197;10.7537234;POINT (10.7537234 45.8841197);Ca' Albano;Via Dromaé;Ledro;38067;28;;;;apartment
9967944280;45.8823707;10.7515614;POINT (10.7515614 45.8823707);Casa Rosa Mezzolago;Via Ptice;Ledro;38067;17;;;;apartment
9974376216;45.868504;10.7753913;POINT (10.7753913 45.868504);Casa Felix;Via delle Decime;Ledro;38067;1;;;;apartment
9975278836;46.2327112;10.8254369;POINT (10.8254369 46.2327112);Residenza 3- Tre;;;;;;;;apartment
9981338237;45.8714387;10.7624808;POINT (10.7624808 45.8714387);Appartamento Belvedere;Via dei Pastei;Ledro;38067;12;;;;apartment
9991627563;45.8837934;10.8575334;POINT (10.8575334 45.8837934);Essence suites;Via Gorizia;Riva del Garda;38066;10;;;;apartment
10010733451;45.8656635;10.803301;POINT (10.803301 45.8656635);Casa Pier Giorgio Frassati;Via della Madonna;Ledro;38067;1;https://www.azionecattolicamantova.it/casa-per-ferie-piergiorgio-frassati/;+39 0464508133;segreteria@azionecattolicamantova.it;apartment
10013095496;45.865762;10.8062437;POINT (10.8062437 45.865762);Appartamenti vacanze Alexandra;Via Giuseppe Cipelli;Ledro;38067;7;;+39 347 9072101;;apartment
10013095497;45.8653085;10.8056428;POINT (10.8056428 45.8653085);"Garda Studio ""Mount 'N Lake""";Via del Dazi;Ledro;38067;;;;;apartment
10015318206;45.866783;10.8077059;POINT (10.8077059 45.866783);Villa Alma;Via dei Toiane;Ledro;38067;3;http://www.alma-grotte.it/;+39 0464 508131;;apartment
10015329244;45.8664682;10.8090204;POINT (10.8090204 45.8664682);Casa Giulia Slow Mountain;Via dei Toiane;Ledro;38067;40;;;;apartment
10035559815;45.8912263;10.7301262;POINT (10.7301262 45.8912263);Casa Stefy;Via Sant'Antonio;Ledro;38067;34;;;;apartment
10035559816;45.8902275;10.7315317;POINT (10.7315317 45.8902275);Casa Angelo;Via Sant'Antonio;Ledro;38067;21;;;;apartment
10042875739;46.3084656;10.7580004;POINT (10.7580004 46.3084656);Residence Ca delle Margherite;Piazza di Ognano;Pellizzano;38020;5;https://www.deltom.it/it/building/details/4/ca-delle-margherite;+390463751204;info@deltom.it;apartment
10224437662;45.9184977;10.8938123;POINT (10.8938123 45.9184977);Music & Bike;Via della Provvidenza;Arco;38062;18;;;;apartment
10694022568;46.2598859;10.5840127;POINT (10.5840127 46.2598859);Dinastia Case Snow Apartment;;;;;;;;apartment
10963827309;45.9026692;10.8483455;POINT (10.8483455 45.9026692);Unnamed;;;;;;;;apartment
11045330442;46.0699637;11.1193381;POINT (11.1193381 46.0699637);House of Bruno / B&B Mia / Trento B&B;Via Torre Vanga;Trento;38122;14;https://www.bbmia.it/;;;apartment
11059120062;45.924547;10.8972436;POINT (10.8972436 45.924547);B&B Ai 4 colori;Via San Martino;Arco;38062;4;https://www.bedandbreakfastai4colori.it/;;andreabona030474@gmail.com;apartment
11059150458;45.9270037;10.8965473;POINT (10.8965473 45.9270037);Le Falesie;Via Dritta;Arco;38062;5;;;;apartment
11059422070;45.9237066;10.9011122;POINT (10.9011122 45.9237066);Massone Climbing Home;Piazza Francesco Saverio Ribbia;Arco;38062;5;;;;apartment
11059490475;45.9242872;10.9005207;POINT (10.9005207 45.9242872);B&B Arco Antico;Via degli Olivi;Arco;38062;8;;;;apartment
11059577422;45.9226185;10.9035431;POINT (10.9035431 45.9226185);La casa di Virginia;Via Verde;Arco;38062;5;;;;apartment
11059613692;45.9268733;10.894713;POINT (10.894713 45.9268733);Costa d'Arco;Viale Arciprete Francesco Santoni;Arco;38062;61;;;;apartment
11059614694;45.9224296;10.9026045;POINT (10.9026045 45.9224296);Residenza Noemi;Via Scipio Sighele;Arco;38062;9;;;;apartment
11064557855;45.913354;10.9156119;POINT (10.9156119 45.913354);Romatico Panorama;Località Gazzi;Arco;38062;58;;;;apartment
11167084236;45.891928;10.8374826;POINT (10.8374826 45.891928);Emma‘s Riva-Dream;Via Ardaro;Riva del Garda;38066;45 h;https://www.emmasrivadream.com;+39 334 301 25 16;rivadelgarda2022@gmail.com;apartment
11167698897;45.8943546;10.8486275;POINT (10.8486275 45.8943546);Emma’s Riva-Dream deluxe;via Archimede Martini;Riva del Garda;38066;1 a;https://www.emmasrivadream.com;+39 334 301 25 16;rivadelgarda2022@gmail.com;apartment
11245385294;46.0454176;11.1049537;POINT (11.1049537 46.0454176);Belvedere Apartements;;;;;;;;apartment
11348712699;46.1465262;10.9682948;POINT (10.9682948 46.1465262);Casa Angelo;Via Belvedere;Molveno;38018;44;;;;apartment
11398636545;45.8779206;10.6607271;POINT (10.6607271 45.8779206);Villa Iagra;Via Ampola;Ledro;38067;31;https://www.villaiagra1794.it/;+39 328 5549007;iagra1794@gmail.com;apartment
11456243615;45.8704967;10.7445576;POINT (10.7445576 45.8704967);Bungalow al Lago;Via Val Maria;Ledro;38067;65;https://www.greenholiday.com;;;apartment
11456243616;45.8704563;10.7444903;POINT (10.7444903 45.8704563);Bungalow al Lago;Via Val Maria;Ledro;38067;67;https://www.greenholiday.com;;;apartment
11456248556;45.8676589;10.7465115;POINT (10.7465115 45.8676589);Casa Gabri;Via Malga Cita;Ledro;38067;6;;;;apartment
11456433247;45.8695094;10.7465338;POINT (10.7465338 45.8695094);Casa Camilla;Via Val Maria;Ledro;38067;5;;;;apartment
11456605979;45.8689318;10.739567;POINT (10.739567 45.8689318);Casa Demadonna;Via Val Maria;Ledro;38067;153;;;;apartment
11459558092;45.8751867;10.7438562;POINT (10.7438562 45.8751867);Ferienhaus Krier;Via Val Maria;Ledro;38067;38;https://ferienhaus-krier.de/lago-di-ledro-trentino/;;;apartment
11459558094;45.8732251;10.743233;POINT (10.743233 45.8732251);Villa Carina;Via Val Maria;Ledro;38067;30;;;;apartment
11459642178;45.8780142;10.7432714;POINT (10.7432714 45.8780142);La Quieta;Via Val Maria;Ledro;38067;72;;;;apartment
11459990197;45.8771512;10.7442319;POINT (10.7442319 45.8771512);Villa Rosemary;Via Val Maria;Ledro;38067;247;;;;apartment
11460271741;45.876224;10.7408805;POINT (10.7408805 45.876224);Casa Ambra;Via Europa;Ledro;38067;8;;;;apartment
11461070515;45.8755907;10.7434164;POINT (10.7434164 45.8755907);Ca' del Bepi;Via Val Maria;Ledro;38067;237;https://www.cadelbepi.com;;;apartment
11461070517;45.8757577;10.7434206;POINT (10.7434206 45.8757577);Serena;Via Val Maria;Ledro;38067;241;https://www.greenholiday.com;;;apartment
11461160682;45.8767616;10.7442347;POINT (10.7442347 45.8767616);Villa Belli;Via Val Maria;Ledro;38067;48;https://www.greenholiday.com;;;apartment
11461160684;45.8781723;10.7447336;POINT (10.7447336 45.8781723);Residence Panorama;Via Val Maria;Ledro;38067;62;;;;apartment
11461464732;45.8795848;10.7390383;POINT (10.7390383 45.8795848);Chalet Le Querce;Via Val Maria;Ledro;38067;263;https://vallediledro.net/le-strutture/chalet-le-querce;;;apartment
11461499253;45.8804223;10.7376841;POINT (10.7376841 45.8804223);Ledro House - Ca' Valentina;Via val Maria;Ledro;38067;88;;;;apartment
11461512511;45.8769415;10.7422571;POINT (10.7422571 45.8769415);Casa Regina;Via Val Maria;Ledro;38067;261;;;;apartment
11461513231;45.8802922;10.7385642;POINT (10.7385642 45.8802922);Ledro House - Ca' Romantica;Via val Maria;Ledro;38067;84;;;;apartment
11461513232;45.8804683;10.7381094;POINT (10.7381094 45.8804683);Ledro House - Casa Panorama;Via val Maria;Ledro;38067;86;;;;apartment
11461513358;45.8795611;10.738367;POINT (10.738367 45.8795611);Ledro House - Terrazze sul lago;Via del Roccolo;Ledro;38067;1;;;;apartment
11461547290;45.869337;10.7458757;POINT (10.7458757 45.869337);Casa Carla;Via Val Maria;Ledro;38067;27;;;;apartment
