,Municipality,ref: ISTAT,year,Waste type,Quantity,category
99,22104.0,4022104,2014,Organic Fraction (t),"1.397,950",1.0
100,,4022105,2014,Organic Fraction (t),"37,812",1.0
101,22106.0,4022106,2014,Organic Fraction (t),"81,798",1.0
102,22108.0,4022108,2014,Organic Fraction (t),"77,483",1.0
103,,4022109,2014,Organic Fraction (t),"33,198",1.0
104,,4022110,2014,Organic Fraction (t),"226,774",1.0
105,,4022111,2014,Organic Fraction (t),"63,114",1.0
106,22112.0,4022112,2014,Organic Fraction (t),"11,416",1.0
107,22113.0,4022113,2014,Organic Fraction (t),"138,994",1.0
108,22114.0,4022114,2014,Organic Fraction (t),"325,581",1.0
109,22115.0,4022115,2014,Organic Fraction (t),"143,979",1.0
110,22116.0,4022116,2014,Organic Fraction (t),"552,516",1.0
111,22117.0,4022117,2014,Organic Fraction (t),"1.130,447",1.0
112,22118.0,4022118,2014,Organic Fraction (t),"616,693",1.0
113,22120.0,4022120,2014,Organic Fraction (t),"444,720",1.0
114,,4022121,2014,Organic Fraction (t),"104,891",1.0
115,,4022122,2014,Organic Fraction (t),"14,713",1.0
116,22123.0,4022123,2014,Organic Fraction (t),"1.066,795",1.0
117,22124.0,4022124,2014,Organic Fraction (t),"648,200",1.0
118,,4022125,2014,Organic Fraction (t),"56,980",1.0
119,,4022126,2014,Organic Fraction (t),"145,096",1.0
120,22127.0,4022127,2014,Organic Fraction (t),"262,673",1.0
121,22128.0,4022128,2014,Organic Fraction (t),"138,662",1.0
122,22129.0,4022129,2014,Organic Fraction (t),"29,229",1.0
123,22130.0,4022130,2014,Organic Fraction (t),"30,500",1.0
124,22131.0,4022131,2014,Organic Fraction (t),"127,423",1.0
125,,4022132,2014,Organic Fraction (t),"77,106",1.0
126,,4022133,2014,Organic Fraction (t),"26,759",1.0
127,,4022134,2014,Organic Fraction (t),"150,107",1.0
128,22136.0,4022136,2014,Organic Fraction (t),"200,530",1.0
129,22137.0,4022137,2014,Organic Fraction (t),"122,075",1.0
130,22138.0,4022138,2014,Organic Fraction (t),"16,949",1.0
131,22139.0,4022139,2014,Organic Fraction (t),"2.908,673",1.0
132,,4022140,2014,Organic Fraction (t),"158,328",1.0
133,22142.0,4022142,2014,Organic Fraction (t),"54,267",1.0
134,22143.0,4022143,2014,Organic Fraction (t),"1.546,509",1.0
135,22144.0,4022144,2014,Organic Fraction (t),"240,268",1.0
136,,4022145,2014,Organic Fraction (t),"458,505",1.0
137,,4022146,2014,Organic Fraction (t),"13,289",1.0
138,22147.0,4022147,2014,Organic Fraction (t),"919,949",1.0
139,,4022148,2014,Organic Fraction (t),"13,935",1.0
140,,4022149,2014,Organic Fraction (t),"8,287",1.0
141,22150.0,4022150,2014,Organic Fraction (t),"79,615",1.0
142,,4022151,2014,Organic Fraction (t),"383,565",1.0
143,,4022152,2014,Organic Fraction (t),"116,561",1.0
144,22153.0,4022153,2014,Organic Fraction (t),"2.554,929",1.0
145,,4022154,2014,Organic Fraction (t),"57,258",1.0
146,22155.0,4022155,2014,Organic Fraction (t),"150,674",1.0
147,22156.0,4022156,2014,Organic Fraction (t),"144,296",1.0
148,22157.0,4022157,2014,Organic Fraction (t),"24,287",1.0
149,,4022158,2014,Organic Fraction (t),"83,737",1.0
150,22135.0,4022135,2014,Organic Fraction (t),"142,465",1.0
151,22159.0,4022159,2014,Organic Fraction (t),"76,777",1.0
152,,4022160,2014,Organic Fraction (t),"170,274",1.0
153,22161.0,4022161,2014,Organic Fraction (t),"4.916,806",1.0
154,,4022162,2014,Organic Fraction (t),"57,908",1.0
155,22163.0,4022163,2014,Organic Fraction (t),"87,932",1.0
156,22164.0,4022164,2014,Organic Fraction (t),"17,907",1.0
157,22165.0,4022165,2014,Organic Fraction (t),"35,408",1.0
158,,4022166,2014,Organic Fraction (t),"65,962",1.0
159,,4022167,2014,Organic Fraction (t),"408,786",1.0
160,,4022168,2014,Organic Fraction (t),"151,634",1.0
161,22169.0,4022169,2014,Organic Fraction (t),"89,884",1.0
162,22170.0,4022170,2014,Organic Fraction (t),"91,000",1.0
163,22171.0,4022171,2014,Organic Fraction (t),"347,578",1.0
164,22172.0,4022172,2014,Organic Fraction (t),"95,698",1.0
165,22173.0,4022173,2014,Organic Fraction (t),"44,524",1.0
166,,4022174,2014,Organic Fraction (t),"225,540",1.0
167,,4022175,2014,Organic Fraction (t),"60,233",1.0
168,,4022176,2014,Organic Fraction (t),"108,316",1.0
169,22177.0,4022177,2014,Organic Fraction (t),"65,788",1.0
170,,4022178,2014,Organic Fraction (t),"66,224",1.0
171,22179.0,4022179,2014,Organic Fraction (t),"195,824",1.0
172,22180.0,4022180,2014,Organic Fraction (t),"166,409",1.0
173,22181.0,4022181,2014,Organic Fraction (t),"66,739",1.0
174,22182.0,4022182,2014,Organic Fraction (t),"168,624",1.0
175,22183.0,4022183,2014,Organic Fraction (t),"295,759",1.0
176,22184.0,4022184,2014,Organic Fraction (t),"31,507",1.0
177,,4022185,2014,Organic Fraction (t),"95,431",1.0
178,,4022186,2014,Organic Fraction (t),"287,127",1.0
179,,4022187,2014,Organic Fraction (t),"177,072",1.0
180,22188.0,4022188,2014,Organic Fraction (t),"161,609",1.0
181,22189.0,4022189,2014,Organic Fraction (t),"27,831",1.0
182,22190.0,4022190,2014,Organic Fraction (t),"150,823",1.0
183,22191.0,4022191,2014,Organic Fraction (t),"247,670",1.0
184,,4022192,2014,Organic Fraction (t),"198,177",1.0
185,22193.0,4022193,2014,Organic Fraction (t),"34,350",1.0
186,,4022194,2014,Organic Fraction (t),"30,860",1.0
187,22195.0,4022195,2014,Organic Fraction (t),"63,222",1.0
188,22196.0,4022196,2014,Organic Fraction (t),"558,768",1.0
189,22199.0,4022199,2014,Organic Fraction (t),"607,226",1.0
190,22200.0,4022200,2014,Organic Fraction (t),"125,856",1.0
191,,4022201,2014,Organic Fraction (t),"172,075",1.0
192,22202.0,4022202,2014,Organic Fraction (t),"38,846",1.0
193,22203.0,4022203,2014,Organic Fraction (t),"94,394",1.0
194,,4022204,2014,Organic Fraction (t),"224,993",1.0
195,22205.0,4022205,2014,Organic Fraction (t),"16.229,960",1.0
196,,4022206,2014,Organic Fraction (t),"77,428",1.0
197,,4022207,2014,Organic Fraction (t),"228,289",1.0
198,,4022208,2014,Organic Fraction (t),"11,062",1.0
199,22209.0,4022209,2014,Organic Fraction (t),"86,030",1.0
200,22210.0,4022210,2014,Organic Fraction (t),"39,891",1.0
201,,4022211,2014,Organic Fraction (t),"181,288",1.0
202,,4022212,2014,Organic Fraction (t),"167,040",1.0
203,22213.0,4022213,2014,Organic Fraction (t),"328,090",1.0
204,,4022214,2014,Organic Fraction (t),"74,361",1.0
205,,4022215,2014,Organic Fraction (t),"186,147",1.0
206,,4022216,2014,Organic Fraction (t),"29,274",1.0
207,,4022217,2014,Organic Fraction (t),"212,943",1.0
208,,4022220,2014,Organic Fraction (t),"35,038",1.0
209,,4022219,2014,Organic Fraction (t),"312,188",1.0
210,,4022221,2014,Organic Fraction (t),"60,924",1.0
211,22222.0,4022222,2014,Organic Fraction (t),"394,724",1.0
212,,4022223,2014,Organic Fraction (t),"39,275",1.0
213,22224.0,4022224,2014,Organic Fraction (t),"427,227",1.0
214,,4022225,2014,Organic Fraction (t),"219,986",1.0
215,22226.0,4022226,2014,Organic Fraction (t),"353,720",1.0
216,,4022227,2014,Organic Fraction (t),"40,993",1.0
217,22001.0,4022001,2015,Organic Fraction (t),"919,995",1.0
218,22002.0,4022002,2015,Organic Fraction (t),"129,601",1.0
219,22003.0,4022003,2015,Organic Fraction (t),"349,376",1.0
220,,4022004,2015,Organic Fraction (t),"28,210",1.0
221,22005.0,4022005,2015,Organic Fraction (t),"681,730",1.0
222,22006.0,4022006,2015,Organic Fraction (t),"2.112,637",1.0
223,22007.0,4022007,2015,Organic Fraction (t),"409,363",1.0
224,,4022009,2015,Organic Fraction (t),"690,766",1.0
225,22011.0,4022011,2015,Organic Fraction (t),"195,719",1.0
226,22013.0,4022013,2015,Organic Fraction (t),"256,281",1.0
227,22015.0,4022015,2015,Organic Fraction (t),"31,390",1.0
228,22017.0,4022017,2015,Organic Fraction (t),"190,119",1.0
229,22018.0,4022018,2015,Organic Fraction (t),"55,536",1.0
230,,4022019,2015,Organic Fraction (t),"37,768",1.0
231,,4022020,2015,Organic Fraction (t),"78,941",1.0
232,22021.0,4022021,2015,Organic Fraction (t),"75,856",1.0
233,22022.0,4022022,2015,Organic Fraction (t),"870,773",1.0
234,,4022023,2015,Organic Fraction (t),"86,592",1.0
235,,4022024,2015,Organic Fraction (t),"75,644",1.0
236,22025.0,4022025,2015,Organic Fraction (t),"447,330",1.0
237,22026.0,4022026,2015,Organic Fraction (t),"24,779",1.0
238,,4022027,2015,Organic Fraction (t),"76,530",1.0
239,,4022028,2015,Organic Fraction (t),"13,511",1.0
240,22029.0,4022029,2015,Organic Fraction (t),"117,029",1.0
241,,4022030,2015,Organic Fraction (t),"33,547",1.0
242,,4022031,2015,Organic Fraction (t),"172,558",1.0
243,22032.0,4022032,2015,Organic Fraction (t),"261,399",1.0
244,22033.0,4022033,2015,Organic Fraction (t),"50,466",1.0
245,22034.0,4022034,2015,Organic Fraction (t),"548,826",1.0
246,22035.0,4022035,2015,Organic Fraction (t),"180,937",1.0
247,22036.0,4022036,2015,Organic Fraction (t),"231,231",1.0
248,22037.0,4022037,2015,Organic Fraction (t),"144,195",1.0
249,22038.0,4022038,2015,Organic Fraction (t),"142,354",1.0
250,22039.0,4022039,2015,Organic Fraction (t),"660,953",1.0
251,22040.0,4022040,2015,Organic Fraction (t),"92,010",1.0
252,,4022041,2015,Organic Fraction (t),"287,294",1.0
253,22042.0,4022042,2015,Organic Fraction (t),"221,611",1.0
254,22043.0,4022043,2015,Organic Fraction (t),"98,468",1.0
255,22045.0,4022045,2015,Organic Fraction (t),"26,278",1.0
256,,4022046,2015,Organic Fraction (t),"66,523",1.0
257,22048.0,4022048,2015,Organic Fraction (t),"77,066",1.0
258,22047.0,4022047,2015,Organic Fraction (t),"387,039",1.0
259,22049.0,4022049,2015,Organic Fraction (t),"106,905",1.0
260,22050.0,4022050,2015,Organic Fraction (t),"813,025",1.0
261,22051.0,4022051,2015,Organic Fraction (t),"130,757",1.0
262,22052.0,4022052,2015,Organic Fraction (t),"115,870",1.0
263,22053.0,4022053,2015,Organic Fraction (t),"341,656",1.0
264,22054.0,4022054,2015,Organic Fraction (t),"13,816",1.0
265,,4022055,2015,Organic Fraction (t),"149,510",1.0
266,,4022056,2015,Organic Fraction (t),"70,117",1.0
267,,4022057,2015,Organic Fraction (t),"45,216",1.0
268,22058.0,4022058,2015,Organic Fraction (t),"51,044",1.0
269,22059.0,4022059,2015,Organic Fraction (t),"20,749",1.0
270,22060.0,4022060,2015,Organic Fraction (t),"30,498",1.0
271,22061.0,4022061,2015,Organic Fraction (t),"427,656",1.0
272,22062.0,4022062,2015,Organic Fraction (t),"671,989",1.0
273,,4022063,2015,Organic Fraction (t),"69,477",1.0
274,22228.0,4022228,2015,Organic Fraction (t),"404,495",1.0
275,22064.0,4022064,2015,Organic Fraction (t),"152,540",1.0
276,,4022066,2015,Organic Fraction (t),"160,968",1.0
277,22068.0,4022068,2015,Organic Fraction (t),"71,548",1.0
278,,4022069,2015,Organic Fraction (t),"62,996",1.0
279,,4022070,2015,Organic Fraction (t),"115,080",1.0
280,22071.0,4022071,2015,Organic Fraction (t),"42,410",1.0
281,,4022073,2015,Organic Fraction (t),"33,513",1.0
282,22074.0,4022074,2015,Organic Fraction (t),"124,753",1.0
283,,4022075,2015,Organic Fraction (t),"401,603",1.0
284,,4022076,2015,Organic Fraction (t),"33,833",1.0
285,22078.0,4022078,2015,Organic Fraction (t),"64,207",1.0
286,22079.0,4022079,2015,Organic Fraction (t),"555,048",1.0
287,,4022080,2015,Organic Fraction (t),"49,970",1.0
288,22081.0,4022081,2015,Organic Fraction (t),"310,792",1.0
289,,4022082,2015,Organic Fraction (t),"79,311",1.0
290,,4022083,2015,Organic Fraction (t),"126,817",1.0
291,,4022084,2015,Organic Fraction (t),"55,904",1.0
292,,4022085,2015,Organic Fraction (t),"54,011",1.0
293,,4022086,2015,Organic Fraction (t),"54,419",1.0
294,22087.0,4022087,2015,Organic Fraction (t),"588,590",1.0
295,,4022088,2015,Organic Fraction (t),"167,354",1.0
296,22089.0,4022089,2015,Organic Fraction (t),"140,636",1.0
297,,4022090,2015,Organic Fraction (t),"48,520",1.0
298,22091.0,4022091,2015,Organic Fraction (t),"37,705",1.0
299,22092.0,4022092,2015,Organic Fraction (t),"159,673",1.0
300,22093.0,4022093,2015,Organic Fraction (t),"125,966",1.0
301,,4022094,2015,Organic Fraction (t),"12,280",1.0
302,22095.0,4022095,2015,Organic Fraction (t),"83,108",1.0
303,,4022096,2015,Organic Fraction (t),"24,555",1.0
304,22097.0,4022097,2015,Organic Fraction (t),"103,523",1.0
305,22098.0,4022098,2015,Organic Fraction (t),"293,904",1.0
306,,4022099,2015,Organic Fraction (t),"28,182",1.0
307,,4022100,2015,Organic Fraction (t),"27,342",1.0
308,,4022101,2015,Organic Fraction (t),"209,380",1.0
309,22102.0,4022102,2015,Organic Fraction (t),"188,727",1.0
310,22103.0,4022103,2015,Organic Fraction (t),"1.157,231",1.0
311,22229.0,4022229,2015,Organic Fraction (t),"843,273",1.0
312,22104.0,4022104,2015,Organic Fraction (t),"1.022,994",1.0
313,,4022105,2015,Organic Fraction (t),"40,332",1.0
314,22106.0,4022106,2015,Organic Fraction (t),"83,391",1.0
315,22108.0,4022108,2015,Organic Fraction (t),"73,974",1.0
316,,4022109,2015,Organic Fraction (t),"34,822",1.0
317,,4022110,2015,Organic Fraction (t),"235,880",1.0
318,,4022111,2015,Organic Fraction (t),"64,997",1.0
319,22112.0,4022112,2015,Organic Fraction (t),"14,788",1.0
320,22113.0,4022113,2015,Organic Fraction (t),"104,349",1.0
321,22114.0,4022114,2015,Organic Fraction (t),"324,084",1.0
322,22115.0,4022115,2015,Organic Fraction (t),"146,706",1.0
323,22116.0,4022116,2015,Organic Fraction (t),"615,225",1.0
324,22117.0,4022117,2015,Organic Fraction (t),"1.038,672",1.0
325,22118.0,4022118,2015,Organic Fraction (t),"610,031",1.0
326,22120.0,4022120,2015,Organic Fraction (t),"460,521",1.0
327,,4022121,2015,Organic Fraction (t),"99,861",1.0
328,,4022122,2015,Organic Fraction (t),"27,023",1.0
329,22123.0,4022123,2015,Organic Fraction (t),"1.044,131",1.0
330,22124.0,4022124,2015,Organic Fraction (t),"536,797",1.0
331,,4022125,2015,Organic Fraction (t),"56,992",1.0
332,,4022126,2015,Organic Fraction (t),"151,218",1.0
333,22127.0,4022127,2015,Organic Fraction (t),"242,058",1.0
334,22128.0,4022128,2015,Organic Fraction (t),"148,188",1.0
335,22129.0,4022129,2015,Organic Fraction (t),"33,287",1.0
336,22130.0,4022130,2015,Organic Fraction (t),"31,453",1.0
337,22131.0,4022131,2015,Organic Fraction (t),"123,756",1.0
338,,4022132,2015,Organic Fraction (t),"85,223",1.0
339,,4022133,2015,Organic Fraction (t),"21,016",1.0
340,,4022134,2015,Organic Fraction (t),"147,378",1.0
341,22136.0,4022136,2015,Organic Fraction (t),"200,996",1.0
342,22137.0,4022137,2015,Organic Fraction (t),"118,119",1.0
343,22138.0,4022138,2015,Organic Fraction (t),"45,216",1.0
344,22139.0,4022139,2015,Organic Fraction (t),"3.961,396",1.0
345,,4022140,2015,Organic Fraction (t),"138,839",1.0
346,22142.0,4022142,2015,Organic Fraction (t),"41,717",1.0
347,22143.0,4022143,2015,Organic Fraction (t),"857,928",1.0
348,22144.0,4022144,2015,Organic Fraction (t),"214,453",1.0
349,,4022145,2015,Organic Fraction (t),"423,923",1.0
350,22230.0,4022230,2015,Organic Fraction (t),"712,873",1.0
351,22147.0,4022147,2015,Organic Fraction (t),"856,723",1.0
352,,4022148,2015,Organic Fraction (t),"44,577",1.0
353,,4022149,2015,Organic Fraction (t),"20,427",1.0
354,22150.0,4022150,2015,Organic Fraction (t),"123,814",1.0
355,,4022151,2015,Organic Fraction (t),"163,947",1.0
356,,4022152,2015,Organic Fraction (t),"119,607",1.0
357,22153.0,4022153,2015,Organic Fraction (t),"2.324,704",1.0
358,,4022154,2015,Organic Fraction (t),"60,327",1.0
359,22155.0,4022155,2015,Organic Fraction (t),"155,726",1.0
360,22156.0,4022156,2015,Organic Fraction (t),"154,452",1.0
361,22157.0,4022157,2015,Organic Fraction (t),"22,664",1.0
362,,4022158,2015,Organic Fraction (t),"180,544",1.0
363,22135.0,4022135,2015,Organic Fraction (t),"140,816",1.0
364,22159.0,4022159,2015,Organic Fraction (t),"78,054",1.0
365,,4022160,2015,Organic Fraction (t),"158,028",1.0
366,22161.0,4022161,2015,Organic Fraction (t),"4.898,288",1.0
367,,4022162,2015,Organic Fraction (t),"59,851",1.0
368,22163.0,4022163,2015,Organic Fraction (t),"90,443",1.0
369,22164.0,4022164,2015,Organic Fraction (t),"19,834",1.0
370,22165.0,4022165,2015,Organic Fraction (t),"35,719",1.0
371,22231.0,4022231,2015,Organic Fraction (t),"209,589",1.0
372,,4022167,2015,Organic Fraction (t),"405,182",1.0
373,,4022168,2015,Organic Fraction (t),"115,251",1.0
374,22169.0,4022169,2015,Organic Fraction (t),"91,777",1.0
375,22170.0,4022170,2015,Organic Fraction (t),"91,968",1.0
376,22171.0,4022171,2015,Organic Fraction (t),"315,857",1.0
377,22172.0,4022172,2015,Organic Fraction (t),"101,334",1.0
378,22173.0,4022173,2015,Organic Fraction (t),"45,365",1.0
379,,4022174,2015,Organic Fraction (t),"232,571",1.0
380,,4022176,2015,Organic Fraction (t),"95,692",1.0
381,22177.0,4022177,2015,Organic Fraction (t),"61,604",1.0
382,,4022178,2015,Organic Fraction (t),"55,279",1.0
383,22179.0,4022179,2015,Organic Fraction (t),"194,161",1.0
384,22180.0,4022180,2015,Organic Fraction (t),"147,887",1.0
385,22181.0,4022181,2015,Organic Fraction (t),"67,570",1.0
386,22182.0,4022182,2015,Organic Fraction (t),"160,968",1.0
387,22183.0,4022183,2015,Organic Fraction (t),"501,842",1.0
388,22184.0,4022184,2015,Organic Fraction (t),"91,921",1.0
389,,4022185,2015,Organic Fraction (t),"111,415",1.0
390,,4022187,2015,Organic Fraction (t),"179,458",1.0
391,22188.0,4022188,2015,Organic Fraction (t),"174,355",1.0
392,22189.0,4022189,2015,Organic Fraction (t),"28,072",1.0
393,22190.0,4022190,2015,Organic Fraction (t),"126,780",1.0
394,22191.0,4022191,2015,Organic Fraction (t),"247,484",1.0
395,,4022192,2015,Organic Fraction (t),"227,127",1.0
396,22193.0,4022193,2015,Organic Fraction (t),"37,557",1.0
397,,4022194,2015,Organic Fraction (t),"31,640",1.0
398,22195.0,4022195,2015,Organic Fraction (t),"65,969",1.0
399,22196.0,4022196,2015,Organic Fraction (t),"542,152",1.0
400,22199.0,4022199,2015,Organic Fraction (t),"393,111",1.0
401,22200.0,4022200,2015,Organic Fraction (t),"128,469",1.0
402,,4022201,2015,Organic Fraction (t),"178,926",1.0
403,22202.0,4022202,2015,Organic Fraction (t),"38,807",1.0
404,22203.0,4022203,2015,Organic Fraction (t),"119,514",1.0
405,,4022204,2015,Organic Fraction (t),"227,131",1.0
406,22205.0,4022205,2015,Organic Fraction (t),"15.972,080",1.0
407,,4022207,2015,Organic Fraction (t),"234,543",1.0
408,,4022208,2015,Organic Fraction (t),"10,813",1.0
409,22232.0,4022232,2015,Organic Fraction (t),"139,370",1.0
410,22209.0,4022209,2015,Organic Fraction (t),"76,132",1.0
411,22210.0,4022210,2015,Organic Fraction (t),"42,939",1.0
412,,4022211,2015,Organic Fraction (t),"165,835",1.0
413,,4022212,2015,Organic Fraction (t),"130,734",1.0
414,22213.0,4022213,2015,Organic Fraction (t),"253,268",1.0
415,,4022215,2015,Organic Fraction (t),"193,102",1.0
416,,4022216,2015,Organic Fraction (t),"21,492",1.0
417,,4022217,2015,Organic Fraction (t),"218,761",1.0
418,,4022220,2015,Organic Fraction (t),"62,771",1.0
419,,4022219,2015,Organic Fraction (t),"236,295",1.0
420,,4022221,2015,Organic Fraction (t),"61,740",1.0
421,22222.0,4022222,2015,Organic Fraction (t),"370,401",1.0
422,,4022223,2015,Organic Fraction (t),"113,518",1.0
423,22224.0,4022224,2015,Organic Fraction (t),"396,149",1.0
424,,4022225,2015,Organic Fraction (t),"208,586",1.0
425,22226.0,4022226,2015,Organic Fraction (t),"330,992",1.0
426,,4022227,2015,Organic Fraction (t),"40,641",1.0
427,22001.0,4022001,2016,Organic Fraction (t),"936,562",1.0
428,22002.0,4022002,2016,Organic Fraction (t),"181,140",1.0
429,22003.0,4022003,2016,Organic Fraction (t),"373,587",1.0
430,22235.0,4022235,2016,Organic Fraction (t),"217,393",1.0
431,,4022236,2016,Organic Fraction (t),"490,557",1.0
432,22237.0,4022237,2016,Organic Fraction (t),"65,271",1.0
433,22005.0,4022005,2016,Organic Fraction (t),"485,049",1.0
434,22006.0,4022006,2016,Organic Fraction (t),"2.309,430",1.0
435,22007.0,4022007,2016,Organic Fraction (t),"413,374",1.0
436,,4022009,2016,Organic Fraction (t),"654,810",1.0
437,22011.0,4022011,2016,Organic Fraction (t),"184,898",1.0
438,22013.0,4022013,2016,Organic Fraction (t),"233,046",1.0
439,22015.0,4022015,2016,Organic Fraction (t),"33,003",1.0
440,22017.0,4022017,2016,Organic Fraction (t),"175,132",1.0
441,22018.0,4022018,2016,Organic Fraction (t),"50,122",1.0
